source_scheme,source_category,source_code,target_kicox_industry,mapping_type,mapping_confidence,rationale,source,official_crosswalk,note
KEPCO 업종분류(비공식),기타 운송,,운송장비,approximate,B,KEPCO 업종명 → KSIC 중분류 31 → KICOX (ksic_to_kicox.csv 경유). 원 분류체계에 공표 정의가 없어 ksic_to_kicox 등급에서 한 단계 내렸다,한국전력공사 전력데이터 개방포털 『업종별 전력사용량』 API 응답의 bizType 값 (https://bigdata.kepco.co.kr/openapi/v1/powerUsage/businessType.do). 공표된 업종 정의·코드표 없음,FALSE,
KEPCO 업종분류(비공식),가구및기타,,기타,ambiguous,C,KEPCO 업종명 → KSIC 중분류 32+33 → KICOX (ksic_to_kicox.csv 경유). KSIC 32(가구)+33(기타제품) 병합. KICOX '기타' 구성 미공표. 원 분류체계에 공표 정의가 없어 ksic_to_kicox 등급에서 한 단계 내렸다,한국전력공사 전력데이터 개방포털 『업종별 전력사용량』 API 응답의 bizType 값 (https://bigdata.kepco.co.kr/openapi/v1/powerUsage/businessType.do). 공표된 업종 정의·코드표 없음,FALSE,병합
KEPCO 업종분류(비공식),농업. 임업,,해당없음,unavailable,D,KEPCO 업종명 → KSIC 중분류 A → KICOX (ksic_to_kicox.csv 경유). 제조업이 아니다,한국전력공사 전력데이터 개방포털 『업종별 전력사용량』 API 응답의 bizType 값 (https://bigdata.kepco.co.kr/openapi/v1/powerUsage/businessType.do). 공표된 업종 정의·코드표 없음,FALSE,
KEPCO 업종분류(비공식),어 업,,해당없음,unavailable,D,KEPCO 업종명 → KSIC 중분류 A → KICOX (ksic_to_kicox.csv 경유). 제조업이 아니다,한국전력공사 전력데이터 개방포털 『업종별 전력사용량』 API 응답의 bizType 값 (https://bigdata.kepco.co.kr/openapi/v1/powerUsage/businessType.do). 공표된 업종 정의·코드표 없음,FALSE,
KEPCO 업종분류(비공식),석탄. 원유,,해당없음,unavailable,D,KEPCO 업종명 → KSIC 중분류 B → KICOX (ksic_to_kicox.csv 경유). 광업이다,한국전력공사 전력데이터 개방포털 『업종별 전력사용량』 API 응답의 bizType 값 (https://bigdata.kepco.co.kr/openapi/v1/powerUsage/businessType.do). 공표된 업종 정의·코드표 없음,FALSE,
KEPCO 업종분류(비공식),금속비금속,,해당없음,unavailable,D,"KEPCO 업종명 → KSIC 중분류 B → KICOX (ksic_to_kicox.csv 경유). 목록상 '석탄. 원유' 바로 뒤, '식료품제조' 앞에 놓인 광업 항목이다. 제조업의 금속·비금속이 아니다",한국전력공사 전력데이터 개방포털 『업종별 전력사용량』 API 응답의 bizType 값 (https://bigdata.kepco.co.kr/openapi/v1/powerUsage/businessType.do). 공표된 업종 정의·코드표 없음,FALSE,명칭이 제조업과 혼동되기 쉽다
KEPCO 업종분류(비공식),수 도,,해당없음,unavailable,D,KEPCO 업종명 → KSIC 중분류 D/E → KICOX (ksic_to_kicox.csv 경유). 수도·환경 부문,한국전력공사 전력데이터 개방포털 『업종별 전력사용량』 API 응답의 bizType 값 (https://bigdata.kepco.co.kr/openapi/v1/powerUsage/businessType.do). 공표된 업종 정의·코드표 없음,FALSE,
KEPCO 업종분류(비공식),재생 재료,,해당없음,unavailable,D,KEPCO 업종명 → KSIC 중분류 E → KICOX (ksic_to_kicox.csv 경유). 재생용 재료 수집·가공,한국전력공사 전력데이터 개방포털 『업종별 전력사용량』 API 응답의 bizType 값 (https://bigdata.kepco.co.kr/openapi/v1/powerUsage/businessType.do). 공표된 업종 정의·코드표 없음,FALSE,
KEPCO 업종분류(비공식),가정용부문,,해당없음,unavailable,D,대응 경로 없음. 용도 구분. 산업분류가 아니다,한국전력공사 전력데이터 개방포털 『업종별 전력사용량』 API 응답의 bizType 값 (https://bigdata.kepco.co.kr/openapi/v1/powerUsage/businessType.do). 공표된 업종 정의·코드표 없음,FALSE,
KEPCO 업종분류(비공식),순수써비스,,해당없음,unavailable,D,대응 경로 없음. 용도 구분. 산업분류가 아니다,한국전력공사 전력데이터 개방포털 『업종별 전력사용량』 API 응답의 bizType 값 (https://bigdata.kepco.co.kr/openapi/v1/powerUsage/businessType.do). 공표된 업종 정의·코드표 없음,FALSE,
KEPCO 업종분류(비공식),사업자 용,,해당없음,unavailable,D,대응 경로 없음. 용도 구분. 산업분류가 아니다,한국전력공사 전력데이터 개방포털 『업종별 전력사용량』 API 응답의 bizType 값 (https://bigdata.kepco.co.kr/openapi/v1/powerUsage/businessType.do). 공표된 업종 정의·코드표 없음,FALSE,
KEPCO 업종분류(비공식),관 공 용,,해당없음,unavailable,D,대응 경로 없음. 용도 구분. 산업분류가 아니다,한국전력공사 전력데이터 개방포털 『업종별 전력사용량』 API 응답의 bizType 값 (https://bigdata.kepco.co.kr/openapi/v1/powerUsage/businessType.do). 공표된 업종 정의·코드표 없음,FALSE,
KEPCO 업종분류(비공식),국 군 용,,해당없음,unavailable,D,대응 경로 없음. 용도 구분. 산업분류가 아니다,한국전력공사 전력데이터 개방포털 『업종별 전력사용량』 API 응답의 bizType 값 (https://bigdata.kepco.co.kr/openapi/v1/powerUsage/businessType.do). 공표된 업종 정의·코드표 없음,FALSE,
KEPCO 업종분류(비공식),유엔군 용,,해당없음,unavailable,D,대응 경로 없음. 용도 구분. 산업분류가 아니다,한국전력공사 전력데이터 개방포털 『업종별 전력사용량』 API 응답의 bizType 값 (https://bigdata.kepco.co.kr/openapi/v1/powerUsage/businessType.do). 공표된 업종 정의·코드표 없음,FALSE,
KEPCO 업종분류(비공식),기타공공용,,해당없음,unavailable,D,대응 경로 없음. 용도 구분. 산업분류가 아니다,한국전력공사 전력데이터 개방포털 『업종별 전력사용량』 API 응답의 bizType 값 (https://bigdata.kepco.co.kr/openapi/v1/powerUsage/businessType.do). 공표된 업종 정의·코드표 없음,FALSE,
KEPCO 업종분류(비공식),전 철,,해당없음,unavailable,D,대응 경로 없음. 용도 구분. 산업분류가 아니다,한국전력공사 전력데이터 개방포털 『업종별 전력사용량』 API 응답의 bizType 값 (https://bigdata.kepco.co.kr/openapi/v1/powerUsage/businessType.do). 공표된 업종 정의·코드표 없음,FALSE,
