industry,quarter,kicox_employment_yoy,mfg_emp_yoy,employment,eis_manufacturing_level,eis_manufacturing_yoy,aggregate_direction,aggregate_yoy_gap_pp,source_category,insured_level,insured_yoy,mapping_type,mapping_confidence,mapping_rationale,industry_direction,industry_yoy_gap_pp,industry_mapping_uncertain,employment_cross_source_agreement,employment_cross_source_disagreement,cross_source_population_note,cross_source_available
기계,2022Q2,-3.9009393152885874,-0.059871020715374,62203.0,110525,,비교자료 없음,,기계·장비,29493.0,,approximate,B,KSIC 29(기타 기계 및 장비)에 해당. KICOX '기계'는 29 중심이나 금속가공(25) 일부를 포함할 수 있어 범위가 한쪽으로 넓다. 방향 비교까지만 사용,비교자료 없음,,False,False,False,KICOX 산단 고용과 고용보험 피보험자는 모집단이 다르다(산단 입주 사업체 vs 창원시 전역 사업장). 수준·점유율 비교 금지.,False
기타,2022Q2,-1.5228426395939132,-0.059871020715374,194.0,110525,,비교자료 없음,,,,,,,,비교자료 없음,,False,False,False,KICOX 산단 고용과 고용보험 피보험자는 모집단이 다르다(산단 입주 사업체 vs 창원시 전역 사업장). 수준·점유율 비교 금지.,False
목재종이,2022Q2,1.1363636363636465,-0.059871020715374,267.0,110525,,비교자료 없음,,,,,,,,비교자료 없음,,False,False,False,KICOX 산단 고용과 고용보험 피보험자는 모집단이 다르다(산단 입주 사업체 vs 창원시 전역 사업장). 수준·점유율 비교 금지.,False
비금속,2022Q2,-2.9962546816479363,-0.059871020715374,259.0,110525,,비교자료 없음,,,,,,,,비교자료 없음,,False,False,False,KICOX 산단 고용과 고용보험 피보험자는 모집단이 다르다(산단 입주 사업체 vs 창원시 전역 사업장). 수준·점유율 비교 금지.,False
석유화학,2022Q2,2.9940119760478945,-0.059871020715374,516.0,110525,,비교자료 없음,,,,,,,,비교자료 없음,,False,False,False,KICOX 산단 고용과 고용보험 피보험자는 모집단이 다르다(산단 입주 사업체 vs 창원시 전역 사업장). 수준·점유율 비교 금지.,False
섬유의복,2022Q2,-11.363636363636363,-0.059871020715374,39.0,110525,,비교자료 없음,,,,,,,,비교자료 없음,,False,False,False,KICOX 산단 고용과 고용보험 피보험자는 모집단이 다르다(산단 입주 사업체 vs 창원시 전역 사업장). 수준·점유율 비교 금지.,False
운송장비,2022Q2,-2.570006222775356,-0.059871020715374,15657.0,110525,,비교자료 없음,,자동차·부품,16935.0,,ambiguous,C,KSIC 30(자동차·트레일러)만 해당. KICOX '운송장비'는 31(기타 운송장비: 조선·항공 등)을 포함하며 창원에는 31 비중이 작지 않다. 부분포함,비교자료 없음,,True,False,False,KICOX 산단 고용과 고용보험 피보험자는 모집단이 다르다(산단 입주 사업체 vs 창원시 전역 사업장). 수준·점유율 비교 금지.,False
음식료,2022Q2,1.0139416983523386,-0.059871020715374,797.0,110525,,비교자료 없음,,,,,,,,비교자료 없음,,False,False,False,KICOX 산단 고용과 고용보험 피보험자는 모집단이 다르다(산단 입주 사업체 vs 창원시 전역 사업장). 수준·점유율 비교 금지.,False
전기전자,2022Q2,11.227757285882213,-0.059871020715374,27441.0,110525,,비교자료 없음,,전기장비,18198.0,,ambiguous,C,KSIC 28(전기장비)만 해당. KICOX '전기전자'는 26(전자부품·컴퓨터·영상·통신)과 27(의료·정밀·광학)도 포함해 부분포함이다. 단정형 신호 생성 금지,비교자료 없음,,True,False,False,KICOX 산단 고용과 고용보험 피보험자는 모집단이 다르다(산단 입주 사업체 vs 창원시 전역 사업장). 수준·점유율 비교 금지.,False
철강,2022Q2,0.9374667092787892,-0.059871020715374,9475.0,110525,,비교자료 없음,,,,,,,,비교자료 없음,,False,False,False,KICOX 산단 고용과 고용보험 피보험자는 모집단이 다르다(산단 입주 사업체 vs 창원시 전역 사업장). 수준·점유율 비교 금지.,False
기계,2022Q3,-3.7933616171699542,-0.2294191211350216,61680.0,110156,,비교자료 없음,,,,,,,,비교자료 없음,,False,False,False,KICOX 산단 고용과 고용보험 피보험자는 모집단이 다르다(산단 입주 사업체 vs 창원시 전역 사업장). 수준·점유율 비교 금지.,False
기타,2022Q3,-3.0000000000000027,-0.2294191211350216,194.0,110156,,비교자료 없음,,,,,,,,비교자료 없음,,False,False,False,KICOX 산단 고용과 고용보험 피보험자는 모집단이 다르다(산단 입주 사업체 vs 창원시 전역 사업장). 수준·점유율 비교 금지.,False
목재종이,2022Q3,2.298850574712641,-0.2294191211350216,267.0,110156,,비교자료 없음,,,,,,,,비교자료 없음,,False,False,False,KICOX 산단 고용과 고용보험 피보험자는 모집단이 다르다(산단 입주 사업체 vs 창원시 전역 사업장). 수준·점유율 비교 금지.,False
비금속,2022Q3,-3.745318352059923,-0.2294191211350216,257.0,110156,,비교자료 없음,,,,,,,,비교자료 없음,,False,False,False,KICOX 산단 고용과 고용보험 피보험자는 모집단이 다르다(산단 입주 사업체 vs 창원시 전역 사업장). 수준·점유율 비교 금지.,False
석유화학,2022Q3,2.357563850687616,-0.2294191211350216,521.0,110156,,비교자료 없음,,,,,,,,비교자료 없음,,False,False,False,KICOX 산단 고용과 고용보험 피보험자는 모집단이 다르다(산단 입주 사업체 vs 창원시 전역 사업장). 수준·점유율 비교 금지.,False
섬유의복,2022Q3,-11.363636363636363,-0.2294191211350216,39.0,110156,,비교자료 없음,,,,,,,,비교자료 없음,,False,False,False,KICOX 산단 고용과 고용보험 피보험자는 모집단이 다르다(산단 입주 사업체 vs 창원시 전역 사업장). 수준·점유율 비교 금지.,False
운송장비,2022Q3,-0.7556994983171417,-0.2294191211350216,15628.0,110156,,비교자료 없음,,,,,,,,비교자료 없음,,False,False,False,KICOX 산단 고용과 고용보험 피보험자는 모집단이 다르다(산단 입주 사업체 vs 창원시 전역 사업장). 수준·점유율 비교 금지.,False
음식료,2022Q3,5.769230769230771,-0.2294191211350216,770.0,110156,,비교자료 없음,,,,,,,,비교자료 없음,,False,False,False,KICOX 산단 고용과 고용보험 피보험자는 모집단이 다르다(산단 입주 사업체 vs 창원시 전역 사업장). 수준·점유율 비교 금지.,False
전기전자,2022Q3,9.08648187979384,-0.2294191211350216,26880.0,110156,,비교자료 없음,,,,,,,,비교자료 없음,,False,False,False,KICOX 산단 고용과 고용보험 피보험자는 모집단이 다르다(산단 입주 사업체 vs 창원시 전역 사업장). 수준·점유율 비교 금지.,False
철강,2022Q3,0.0741839762611329,-0.2294191211350216,9443.0,110156,,비교자료 없음,,,,,,,,비교자료 없음,,False,False,False,KICOX 산단 고용과 고용보험 피보험자는 모집단이 다르다(산단 입주 사업체 vs 창원시 전역 사업장). 수준·점유율 비교 금지.,False
기계,2022Q4,-4.635313375515471,-2.921859066318677,60589.0,110008,,비교자료 없음,,기계·장비,29560.0,,approximate,B,KSIC 29(기타 기계 및 장비)에 해당. KICOX '기계'는 29 중심이나 금속가공(25) 일부를 포함할 수 있어 범위가 한쪽으로 넓다. 방향 비교까지만 사용,비교자료 없음,,False,False,False,KICOX 산단 고용과 고용보험 피보험자는 모집단이 다르다(산단 입주 사업체 vs 창원시 전역 사업장). 수준·점유율 비교 금지.,False
기타,2022Q4,-19.387755102040817,-2.921859066318677,158.0,110008,,비교자료 없음,,,,,,,,비교자료 없음,,False,False,False,KICOX 산단 고용과 고용보험 피보험자는 모집단이 다르다(산단 입주 사업체 vs 창원시 전역 사업장). 수준·점유율 비교 금지.,False
목재종이,2022Q4,-1.4981273408239737,-2.921859066318677,263.0,110008,,비교자료 없음,,,,,,,,비교자료 없음,,False,False,False,KICOX 산단 고용과 고용보험 피보험자는 모집단이 다르다(산단 입주 사업체 vs 창원시 전역 사업장). 수준·점유율 비교 금지.,False
비금속,2022Q4,-3.383458646616544,-2.921859066318677,257.0,110008,,비교자료 없음,,,,,,,,비교자료 없음,,False,False,False,KICOX 산단 고용과 고용보험 피보험자는 모집단이 다르다(산단 입주 사업체 vs 창원시 전역 사업장). 수준·점유율 비교 금지.,False
석유화학,2022Q4,11.023622047244096,-2.921859066318677,564.0,110008,,비교자료 없음,,,,,,,,비교자료 없음,,False,False,False,KICOX 산단 고용과 고용보험 피보험자는 모집단이 다르다(산단 입주 사업체 vs 창원시 전역 사업장). 수준·점유율 비교 금지.,False
섬유의복,2022Q4,64.1025641025641,-2.921859066318677,64.0,110008,,비교자료 없음,,,,,,,,비교자료 없음,,False,False,False,KICOX 산단 고용과 고용보험 피보험자는 모집단이 다르다(산단 입주 사업체 vs 창원시 전역 사업장). 수준·점유율 비교 금지.,False
운송장비,2022Q4,2.5108612317914725,-2.921859066318677,16045.0,110008,,비교자료 없음,,자동차·부품,17166.0,,ambiguous,C,KSIC 30(자동차·트레일러)만 해당. KICOX '운송장비'는 31(기타 운송장비: 조선·항공 등)을 포함하며 창원에는 31 비중이 작지 않다. 부분포함,비교자료 없음,,True,False,False,KICOX 산단 고용과 고용보험 피보험자는 모집단이 다르다(산단 입주 사업체 vs 창원시 전역 사업장). 수준·점유율 비교 금지.,False
음식료,2022Q4,16.962025316455698,-2.921859066318677,924.0,110008,,비교자료 없음,,,,,,,,비교자료 없음,,False,False,False,KICOX 산단 고용과 고용보험 피보험자는 모집단이 다르다(산단 입주 사업체 vs 창원시 전역 사업장). 수준·점유율 비교 금지.,False
전기전자,2022Q4,-2.82984931452096,-2.921859066318677,24311.0,110008,,비교자료 없음,,전기장비,17409.0,,ambiguous,C,KSIC 28(전기장비)만 해당. KICOX '전기전자'는 26(전자부품·컴퓨터·영상·통신)과 27(의료·정밀·광학)도 포함해 부분포함이다. 단정형 신호 생성 금지,비교자료 없음,,True,False,False,KICOX 산단 고용과 고용보험 피보험자는 모집단이 다르다(산단 입주 사업체 vs 창원시 전역 사업장). 수준·점유율 비교 금지.,False
철강,2022Q4,-3.0181086519114664,-2.921859066318677,9158.0,110008,,비교자료 없음,,,,,,,,비교자료 없음,,False,False,False,KICOX 산단 고용과 고용보험 피보험자는 모집단이 다르다(산단 입주 사업체 vs 창원시 전역 사업장). 수준·점유율 비교 금지.,False
기계,2023Q1,-9.747631557996971,-3.0444865039985003,56683.0,111749,1.3311449841767908,방향 불일치,-4.375631488175291,,,,,,,비교자료 없음,,False,False,False,KICOX 산단 고용과 고용보험 피보험자는 모집단이 다르다(산단 입주 사업체 vs 창원시 전역 사업장). 수준·점유율 비교 금지.,False
기타,2023Q1,-24.615384615384617,-3.0444865039985003,147.0,111749,1.3311449841767908,방향 불일치,-4.375631488175291,,,,,,,비교자료 없음,,False,False,False,KICOX 산단 고용과 고용보험 피보험자는 모집단이 다르다(산단 입주 사업체 vs 창원시 전역 사업장). 수준·점유율 비교 금지.,False
목재종이,2023Q1,-3.3707865168539297,-3.0444865039985003,258.0,111749,1.3311449841767908,방향 불일치,-4.375631488175291,,,,,,,비교자료 없음,,False,False,False,KICOX 산단 고용과 고용보험 피보험자는 모집단이 다르다(산단 입주 사업체 vs 창원시 전역 사업장). 수준·점유율 비교 금지.,False
비금속,2023Q1,-2.661596958174905,-3.0444865039985003,256.0,111749,1.3311449841767908,방향 불일치,-4.375631488175291,,,,,,,비교자료 없음,,False,False,False,KICOX 산단 고용과 고용보험 피보험자는 모집단이 다르다(산단 입주 사업체 vs 창원시 전역 사업장). 수준·점유율 비교 금지.,False
석유화학,2023Q1,22.83464566929134,-3.0444865039985003,624.0,111749,1.3311449841767908,방향 불일치,-4.375631488175291,,,,,,,비교자료 없음,,False,False,False,KICOX 산단 고용과 고용보험 피보험자는 모집단이 다르다(산단 입주 사업체 vs 창원시 전역 사업장). 수준·점유율 비교 금지.,False
섬유의복,2023Q1,35.897435897435905,-3.0444865039985003,53.0,111749,1.3311449841767908,방향 불일치,-4.375631488175291,,,,,,,비교자료 없음,,False,False,False,KICOX 산단 고용과 고용보험 피보험자는 모집단이 다르다(산단 입주 사업체 vs 창원시 전역 사업장). 수준·점유율 비교 금지.,False
운송장비,2023Q1,9.135483870967745,-3.0444865039985003,16916.0,111749,1.3311449841767908,방향 불일치,-4.375631488175291,,,,,,,비교자료 없음,,False,False,False,KICOX 산단 고용과 고용보험 피보험자는 모집단이 다르다(산단 입주 사업체 vs 창원시 전역 사업장). 수준·점유율 비교 금지.,False
음식료,2023Q1,17.189631650750336,-3.0444865039985003,859.0,111749,1.3311449841767908,방향 불일치,-4.375631488175291,,,,,,,비교자료 없음,,False,False,False,KICOX 산단 고용과 고용보험 피보험자는 모집단이 다르다(산단 입주 사업체 vs 창원시 전역 사업장). 수준·점유율 비교 금지.,False
전기전자,2023Q1,4.927346225281326,-3.0444865039985003,28812.0,111749,1.3311449841767908,방향 불일치,-4.375631488175291,,,,,,,비교자료 없음,,False,False,False,KICOX 산단 고용과 고용보험 피보험자는 모집단이 다르다(산단 입주 사업체 vs 창원시 전역 사업장). 수준·점유율 비교 금지.,False
철강,2023Q1,-4.304461942257221,-3.0444865039985003,9115.0,111749,1.3311449841767908,방향 불일치,-4.375631488175291,,,,,,,비교자료 없음,,False,False,False,KICOX 산단 고용과 고용보험 피보험자는 모집단이 다르다(산단 입주 사업체 vs 창원시 전역 사업장). 수준·점유율 비교 금지.,False
기계,2023Q2,-8.788965162451968,-2.985074626865669,56736.0,111930,1.2712056095905977,방향 불일치,-4.256280236456266,,,,,,,비교자료 없음,,False,False,False,KICOX 산단 고용과 고용보험 피보험자는 모집단이 다르다(산단 입주 사업체 vs 창원시 전역 사업장). 수준·점유율 비교 금지.,False
기타,2023Q2,-18.55670103092784,-2.985074626865669,158.0,111930,1.2712056095905977,방향 불일치,-4.256280236456266,,,,,,,비교자료 없음,,False,False,False,KICOX 산단 고용과 고용보험 피보험자는 모집단이 다르다(산단 입주 사업체 vs 창원시 전역 사업장). 수준·점유율 비교 금지.,False
목재종이,2023Q2,-3.3707865168539297,-2.985074626865669,258.0,111930,1.2712056095905977,방향 불일치,-4.256280236456266,,,,,,,비교자료 없음,,False,False,False,KICOX 산단 고용과 고용보험 피보험자는 모집단이 다르다(산단 입주 사업체 vs 창원시 전역 사업장). 수준·점유율 비교 금지.,False
비금속,2023Q2,-3.0888030888030937,-2.985074626865669,251.0,111930,1.2712056095905977,방향 불일치,-4.256280236456266,,,,,,,비교자료 없음,,False,False,False,KICOX 산단 고용과 고용보험 피보험자는 모집단이 다르다(산단 입주 사업체 vs 창원시 전역 사업장). 수준·점유율 비교 금지.,False
석유화학,2023Q2,21.12403100775193,-2.985074626865669,625.0,111930,1.2712056095905977,방향 불일치,-4.256280236456266,,,,,,,비교자료 없음,,False,False,False,KICOX 산단 고용과 고용보험 피보험자는 모집단이 다르다(산단 입주 사업체 vs 창원시 전역 사업장). 수준·점유율 비교 금지.,False
섬유의복,2023Q2,12.82051282051282,-2.985074626865669,44.0,111930,1.2712056095905977,방향 불일치,-4.256280236456266,,,,,,,비교자료 없음,,False,False,False,KICOX 산단 고용과 고용보험 피보험자는 모집단이 다르다(산단 입주 사업체 vs 창원시 전역 사업장). 수준·점유율 비교 금지.,False
운송장비,2023Q2,5.467203167912116,-2.985074626865669,16513.0,111930,1.2712056095905977,방향 불일치,-4.256280236456266,,,,,,,비교자료 없음,,False,False,False,KICOX 산단 고용과 고용보험 피보험자는 모집단이 다르다(산단 입주 사업체 vs 창원시 전역 사업장). 수준·점유율 비교 금지.,False
음식료,2023Q2,14.052697616060229,-2.985074626865669,909.0,111930,1.2712056095905977,방향 불일치,-4.256280236456266,,,,,,,비교자료 없음,,False,False,False,KICOX 산단 고용과 고용보험 피보험자는 모집단이 다르다(산단 입주 사업체 vs 창원시 전역 사업장). 수준·점유율 비교 금지.,False
전기전자,2023Q2,4.493276484093145,-2.985074626865669,28674.0,111930,1.2712056095905977,방향 불일치,-4.256280236456266,,,,,,,비교자료 없음,,False,False,False,KICOX 산단 고용과 고용보험 피보험자는 모집단이 다르다(산단 입주 사업체 vs 창원시 전역 사업장). 수준·점유율 비교 금지.,False
철강,2023Q2,-2.9868073878628,-2.985074626865669,9192.0,111930,1.2712056095905977,방향 불일치,-4.256280236456266,,,,,,,비교자료 없음,,False,False,False,KICOX 산단 고용과 고용보험 피보험자는 모집단이 다르다(산단 입주 사업체 vs 창원시 전역 사업장). 수준·점유율 비교 금지.,False
기계,2023Q3,-8.356031128404673,-1.8940343536856248,56526.0,112476,2.1061040705907974,방향 불일치,-4.000138424276422,,,,,,,비교자료 없음,,False,False,False,KICOX 산단 고용과 고용보험 피보험자는 모집단이 다르다(산단 입주 사업체 vs 창원시 전역 사업장). 수준·점유율 비교 금지.,False
기타,2023Q3,-12.371134020618555,-1.8940343536856248,170.0,112476,2.1061040705907974,방향 불일치,-4.000138424276422,,,,,,,비교자료 없음,,False,False,False,KICOX 산단 고용과 고용보험 피보험자는 모집단이 다르다(산단 입주 사업체 vs 창원시 전역 사업장). 수준·점유율 비교 금지.,False
목재종이,2023Q3,-5.61797752808989,-1.8940343536856248,252.0,112476,2.1061040705907974,방향 불일치,-4.000138424276422,,,,,,,비교자료 없음,,False,False,False,KICOX 산단 고용과 고용보험 피보험자는 모집단이 다르다(산단 입주 사업체 vs 창원시 전역 사업장). 수준·점유율 비교 금지.,False
비금속,2023Q3,-2.334630350194556,-1.8940343536856248,251.0,112476,2.1061040705907974,방향 불일치,-4.000138424276422,,,,,,,비교자료 없음,,False,False,False,KICOX 산단 고용과 고용보험 피보험자는 모집단이 다르다(산단 입주 사업체 vs 창원시 전역 사업장). 수준·점유율 비교 금지.,False
석유화학,2023Q3,20.345489443378128,-1.8940343536856248,627.0,112476,2.1061040705907974,방향 불일치,-4.000138424276422,,,,,,,비교자료 없음,,False,False,False,KICOX 산단 고용과 고용보험 피보험자는 모집단이 다르다(산단 입주 사업체 vs 창원시 전역 사업장). 수준·점유율 비교 금지.,False
섬유의복,2023Q3,0.0,-1.8940343536856248,39.0,112476,2.1061040705907974,방향 불일치,-4.000138424276422,,,,,,,비교자료 없음,,False,False,False,KICOX 산단 고용과 고용보험 피보험자는 모집단이 다르다(산단 입주 사업체 vs 창원시 전역 사업장). 수준·점유율 비교 금지.,False
운송장비,2023Q3,7.077041208088053,-1.8940343536856248,16734.0,112476,2.1061040705907974,방향 불일치,-4.000138424276422,,,,,,,비교자료 없음,,False,False,False,KICOX 산단 고용과 고용보험 피보험자는 모집단이 다르다(산단 입주 사업체 vs 창원시 전역 사업장). 수준·점유율 비교 금지.,False
음식료,2023Q3,12.72727272727272,-1.8940343536856248,868.0,112476,2.1061040705907974,방향 불일치,-4.000138424276422,,,,,,,비교자료 없음,,False,False,False,KICOX 산단 고용과 고용보험 피보험자는 모집단이 다르다(산단 입주 사업체 vs 창원시 전역 사업장). 수준·점유율 비교 금지.,False
전기전자,2023Q3,7.254464285714279,-1.8940343536856248,28830.0,112476,2.1061040705907974,방향 불일치,-4.000138424276422,,,,,,,비교자료 없음,,False,False,False,KICOX 산단 고용과 고용보험 피보험자는 모집단이 다르다(산단 입주 사업체 vs 창원시 전역 사업장). 수준·점유율 비교 금지.,False
철강,2023Q3,-2.6686434395848724,-1.8940343536856248,9191.0,112476,2.1061040705907974,방향 불일치,-4.000138424276422,,,,,,,비교자료 없음,,False,False,False,KICOX 산단 고용과 고용보험 피보험자는 모집단이 다르다(산단 입주 사업체 vs 창원시 전역 사업장). 수준·점유율 비교 금지.,False
기계,2023Q4,-6.770205812936336,1.0486678002011862,56487.0,112818,2.5543596829321613,방향 일치,-1.505691882730975,기계·장비,29688.0,0.4330175913396461,approximate,B,KSIC 29(기타 기계 및 장비)에 해당. KICOX '기계'는 29 중심이나 금속가공(25) 일부를 포함할 수 있어 범위가 한쪽으로 넓다. 방향 비교까지만 사용,방향 불일치,-7.203223404275982,False,False,True,KICOX 산단 고용과 고용보험 피보험자는 모집단이 다르다(산단 입주 사업체 vs 창원시 전역 사업장). 수준·점유율 비교 금지.,True
기타,2023Q4,7.594936708860756,1.0486678002011862,170.0,112818,2.5543596829321613,방향 일치,-1.505691882730975,,,,,,,비교자료 없음,,False,False,False,KICOX 산단 고용과 고용보험 피보험자는 모집단이 다르다(산단 입주 사업체 vs 창원시 전역 사업장). 수준·점유율 비교 금지.,False
목재종이,2023Q4,-9.125475285171104,1.0486678002011862,239.0,112818,2.5543596829321613,방향 일치,-1.505691882730975,,,,,,,비교자료 없음,,False,False,False,KICOX 산단 고용과 고용보험 피보험자는 모집단이 다르다(산단 입주 사업체 vs 창원시 전역 사업장). 수준·점유율 비교 금지.,False
비금속,2023Q4,-2.334630350194556,1.0486678002011862,251.0,112818,2.5543596829321613,방향 일치,-1.505691882730975,,,,,,,비교자료 없음,,False,False,False,KICOX 산단 고용과 고용보험 피보험자는 모집단이 다르다(산단 입주 사업체 vs 창원시 전역 사업장). 수준·점유율 비교 금지.,False
석유화학,2023Q4,12.234042553191491,1.0486678002011862,633.0,112818,2.5543596829321613,방향 일치,-1.505691882730975,,,,,,,비교자료 없음,,False,False,False,KICOX 산단 고용과 고용보험 피보험자는 모집단이 다르다(산단 입주 사업체 vs 창원시 전역 사업장). 수준·점유율 비교 금지.,False
섬유의복,2023Q4,-40.625,1.0486678002011862,38.0,112818,2.5543596829321613,방향 일치,-1.505691882730975,,,,,,,비교자료 없음,,False,False,False,KICOX 산단 고용과 고용보험 피보험자는 모집단이 다르다(산단 입주 사업체 vs 창원시 전역 사업장). 수준·점유율 비교 금지.,False
운송장비,2023Q4,4.823932689311317,1.0486678002011862,16819.0,112818,2.5543596829321613,방향 일치,-1.505691882730975,자동차·부품,18406.0,7.223581498310616,ambiguous,C,KSIC 30(자동차·트레일러)만 해당. KICOX '운송장비'는 31(기타 운송장비: 조선·항공 등)을 포함하며 창원에는 31 비중이 작지 않다. 부분포함,방향 일치 (매핑 C등급 — 참고),-2.3996488089992996,True,True,False,KICOX 산단 고용과 고용보험 피보험자는 모집단이 다르다(산단 입주 사업체 vs 창원시 전역 사업장). 수준·점유율 비교 금지.,True
음식료,2023Q4,-1.1904761904761862,1.0486678002011862,913.0,112818,2.5543596829321613,방향 일치,-1.505691882730975,,,,,,,비교자료 없음,,False,False,False,KICOX 산단 고용과 고용보험 피보험자는 모집단이 다르다(산단 입주 사업체 vs 창원시 전역 사업장). 수준·점유율 비교 금지.,False
전기전자,2023Q4,18.370285056147416,1.0486678002011862,28777.0,112818,2.5543596829321613,방향 일치,-1.505691882730975,전기장비,17947.0,3.0903555632144197,ambiguous,C,KSIC 28(전기장비)만 해당. KICOX '전기전자'는 26(전자부품·컴퓨터·영상·통신)과 27(의료·정밀·광학)도 포함해 부분포함이다. 단정형 신호 생성 금지,방향 일치 (매핑 C등급 — 참고),15.279929492932997,True,True,False,KICOX 산단 고용과 고용보험 피보험자는 모집단이 다르다(산단 입주 사업체 vs 창원시 전역 사업장). 수준·점유율 비교 금지.,True
철강,2023Q4,0.2839047827036367,1.0486678002011862,9184.0,112818,2.5543596829321613,방향 일치,-1.505691882730975,,,,,,,비교자료 없음,,False,False,False,KICOX 산단 고용과 고용보험 피보험자는 모집단이 다르다(산단 입주 사업체 vs 창원시 전역 사업장). 수준·점유율 비교 금지.,False
기계,2024Q1,-0.6386394509817706,0.2365396621615723,56321.0,113327,1.4120931730932762,방향 일치,-1.175553510931704,기계·장비,29188.0,,approximate,B,KSIC 29(기타 기계 및 장비)에 해당. KICOX '기계'는 29 중심이나 금속가공(25) 일부를 포함할 수 있어 범위가 한쪽으로 넓다. 방향 비교까지만 사용,비교자료 없음,,False,False,False,KICOX 산단 고용과 고용보험 피보험자는 모집단이 다르다(산단 입주 사업체 vs 창원시 전역 사업장). 수준·점유율 비교 금지.,False
기타,2024Q1,17.68707482993197,0.2365396621615723,173.0,113327,1.4120931730932762,방향 일치,-1.175553510931704,,,,,,,비교자료 없음,,False,False,False,KICOX 산단 고용과 고용보험 피보험자는 모집단이 다르다(산단 입주 사업체 vs 창원시 전역 사업장). 수준·점유율 비교 금지.,False
목재종이,2024Q1,-7.36434108527132,0.2365396621615723,239.0,113327,1.4120931730932762,방향 일치,-1.175553510931704,,,,,,,비교자료 없음,,False,False,False,KICOX 산단 고용과 고용보험 피보험자는 모집단이 다르다(산단 입주 사업체 vs 창원시 전역 사업장). 수준·점유율 비교 금지.,False
비금속,2024Q1,-2.34375,0.2365396621615723,250.0,113327,1.4120931730932762,방향 일치,-1.175553510931704,,,,,,,비교자료 없음,,False,False,False,KICOX 산단 고용과 고용보험 피보험자는 모집단이 다르다(산단 입주 사업체 vs 창원시 전역 사업장). 수준·점유율 비교 금지.,False
석유화학,2024Q1,1.6025641025640969,0.2365396621615723,634.0,113327,1.4120931730932762,방향 일치,-1.175553510931704,,,,,,,비교자료 없음,,False,False,False,KICOX 산단 고용과 고용보험 피보험자는 모집단이 다르다(산단 입주 사업체 vs 창원시 전역 사업장). 수준·점유율 비교 금지.,False
