quarter,power_usage_kwh,customers,bill_krw,unit_cost_avg,months,power_lag4,customers_lag4,power_usage_yoy,customers_yoy,industry,mapping_grade,geography,geography_grade,population_scope,source,source_table_id,frequency,coverage_flag,role,usage_note,excluded_series_note
2023Q3,1502535358,5891,245885775659,163.6,3,1503787868.0,5881.0,-0.083290338128994,0.17003910899506813,해당없음(제조업 총계),D,경상남도 창원시,B,창원시 전역 전기사용 고객 — 창원국가산단 아님,한국전력 전력데이터개방포털,powerUsage/industryType.do + change/custNum/industryType.do,월→분기 (사용량 합계 / 고객호수 분기말),manufacturing_aggregate_city,CONTEXT / ACTIVITY,업종별로 복제하지 않는다. 전력 감소를 생산 감소로 단정하지 않는다 — 가동률과 개념·모집단이 다르다.,change/custNum/industryType.do 의 new/expansion/cancel 은 단위 미확정(건수로 보기에는 값이 고객 수를 크게 넘는다)이라 패널에서 제외했다. 고객 수는 powerUsage 의 custCnt 를 사용한다.
2023Q4,1456353669,6001,241211548627,165.29999999999998,3,1531130801.0,5881.0,-4.883784713308758,2.0404693079408176,해당없음(제조업 총계),D,경상남도 창원시,B,창원시 전역 전기사용 고객 — 창원국가산단 아님,한국전력 전력데이터개방포털,powerUsage/industryType.do + change/custNum/industryType.do,월→분기 (사용량 합계 / 고객호수 분기말),manufacturing_aggregate_city,CONTEXT / ACTIVITY,업종별로 복제하지 않는다. 전력 감소를 생산 감소로 단정하지 않는다 — 가동률과 개념·모집단이 다르다.,change/custNum/industryType.do 의 new/expansion/cancel 은 단위 미확정(건수로 보기에는 값이 고객 수를 크게 넘는다)이라 패널에서 제외했다. 고객 수는 powerUsage 의 custCnt 를 사용한다.
2024Q1,1485037583,6009,251175534523,169.4,3,1541275647.0,5902.0,-3.648799882711695,1.8129447644866126,해당없음(제조업 총계),D,경상남도 창원시,B,창원시 전역 전기사용 고객 — 창원국가산단 아님,한국전력 전력데이터개방포털,powerUsage/industryType.do + change/custNum/industryType.do,월→분기 (사용량 합계 / 고객호수 분기말),manufacturing_aggregate_city,CONTEXT / ACTIVITY,업종별로 복제하지 않는다. 전력 감소를 생산 감소로 단정하지 않는다 — 가동률과 개념·모집단이 다르다.,change/custNum/industryType.do 의 new/expansion/cancel 은 단위 미확정(건수로 보기에는 값이 고객 수를 크게 넘는다)이라 패널에서 제외했다. 고객 수는 powerUsage 의 custCnt 를 사용한다.
2024Q2,1458830657,6035,233216585963,159.93333333333334,3,1509459422.0,5892.0,-3.3540991074088033,2.427019687712151,해당없음(제조업 총계),D,경상남도 창원시,B,창원시 전역 전기사용 고객 — 창원국가산단 아님,한국전력 전력데이터개방포털,powerUsage/industryType.do + change/custNum/industryType.do,월→분기 (사용량 합계 / 고객호수 분기말),manufacturing_aggregate_city,CONTEXT / ACTIVITY,업종별로 복제하지 않는다. 전력 감소를 생산 감소로 단정하지 않는다 — 가동률과 개념·모집단이 다르다.,change/custNum/industryType.do 의 new/expansion/cancel 은 단위 미확정(건수로 보기에는 값이 고객 수를 크게 넘는다)이라 패널에서 제외했다. 고객 수는 powerUsage 의 custCnt 를 사용한다.
2024Q3,1488574261,6026,255090164524,171.13333333333333,3,1502535358.0,5891.0,-0.9291692821514319,2.2916313019860857,해당없음(제조업 총계),D,경상남도 창원시,B,창원시 전역 전기사용 고객 — 창원국가산단 아님,한국전력 전력데이터개방포털,powerUsage/industryType.do + change/custNum/industryType.do,월→분기 (사용량 합계 / 고객호수 분기말),manufacturing_aggregate_city,CONTEXT / ACTIVITY,업종별로 복제하지 않는다. 전력 감소를 생산 감소로 단정하지 않는다 — 가동률과 개념·모집단이 다르다.,change/custNum/industryType.do 의 new/expansion/cancel 은 단위 미확정(건수로 보기에는 값이 고객 수를 크게 넘는다)이라 패널에서 제외했다. 고객 수는 powerUsage 의 custCnt 를 사용한다.
2024Q4,1400444731,6018,252418665100,180.33333333333334,3,1456353669.0,6001.0,-3.8389670854051317,0.28328611898016387,해당없음(제조업 총계),D,경상남도 창원시,B,창원시 전역 전기사용 고객 — 창원국가산단 아님,한국전력 전력데이터개방포털,powerUsage/industryType.do + change/custNum/industryType.do,월→분기 (사용량 합계 / 고객호수 분기말),manufacturing_aggregate_city,CONTEXT / ACTIVITY,업종별로 복제하지 않는다. 전력 감소를 생산 감소로 단정하지 않는다 — 가동률과 개념·모집단이 다르다.,change/custNum/industryType.do 의 new/expansion/cancel 은 단위 미확정(건수로 보기에는 값이 고객 수를 크게 넘는다)이라 패널에서 제외했다. 고객 수는 powerUsage 의 custCnt 를 사용한다.
2025Q1,1423510804,6025,263410308709,185.26666666666665,3,1485037583.0,6009.0,-4.143112585454345,0.2662672657680165,해당없음(제조업 총계),D,경상남도 창원시,B,창원시 전역 전기사용 고객 — 창원국가산단 아님,한국전력 전력데이터개방포털,powerUsage/industryType.do + change/custNum/industryType.do,월→분기 (사용량 합계 / 고객호수 분기말),manufacturing_aggregate_city,CONTEXT / ACTIVITY,업종별로 복제하지 않는다. 전력 감소를 생산 감소로 단정하지 않는다 — 가동률과 개념·모집단이 다르다.,change/custNum/industryType.do 의 new/expansion/cancel 은 단위 미확정(건수로 보기에는 값이 고객 수를 크게 넘는다)이라 패널에서 제외했다. 고객 수는 powerUsage 의 custCnt 를 사용한다.
2025Q2,1408822420,6033,249787686650,177.33333333333334,3,1458830657.0,6035.0,-3.427967239380547,-0.0331400165700102,해당없음(제조업 총계),D,경상남도 창원시,B,창원시 전역 전기사용 고객 — 창원국가산단 아님,한국전력 전력데이터개방포털,powerUsage/industryType.do + change/custNum/industryType.do,월→분기 (사용량 합계 / 고객호수 분기말),manufacturing_aggregate_city,CONTEXT / ACTIVITY,업종별로 복제하지 않는다. 전력 감소를 생산 감소로 단정하지 않는다 — 가동률과 개념·모집단이 다르다.,change/custNum/industryType.do 의 new/expansion/cancel 은 단위 미확정(건수로 보기에는 값이 고객 수를 크게 넘는다)이라 패널에서 제외했다. 고객 수는 powerUsage 의 custCnt 를 사용한다.
2025Q3,1475217617,6033,276430456320,187.5666666666667,3,1488574261.0,6026.0,-0.8972776400840932,0.11616329239960699,해당없음(제조업 총계),D,경상남도 창원시,B,창원시 전역 전기사용 고객 — 창원국가산단 아님,한국전력 전력데이터개방포털,powerUsage/industryType.do + change/custNum/industryType.do,월→분기 (사용량 합계 / 고객호수 분기말),manufacturing_aggregate_city,CONTEXT / ACTIVITY,업종별로 복제하지 않는다. 전력 감소를 생산 감소로 단정하지 않는다 — 가동률과 개념·모집단이 다르다.,change/custNum/industryType.do 의 new/expansion/cancel 은 단위 미확정(건수로 보기에는 값이 고객 수를 크게 넘는다)이라 패널에서 제외했다. 고객 수는 powerUsage 의 custCnt 를 사용한다.
2025Q4,1360214152,6031,253798298121,186.1,3,1400444731.0,6018.0,-2.872700229395919,0.21601861083415663,해당없음(제조업 총계),D,경상남도 창원시,B,창원시 전역 전기사용 고객 — 창원국가산단 아님,한국전력 전력데이터개방포털,powerUsage/industryType.do + change/custNum/industryType.do,월→분기 (사용량 합계 / 고객호수 분기말),manufacturing_aggregate_city,CONTEXT / ACTIVITY,업종별로 복제하지 않는다. 전력 감소를 생산 감소로 단정하지 않는다 — 가동률과 개념·모집단이 다르다.,change/custNum/industryType.do 의 new/expansion/cancel 은 단위 미확정(건수로 보기에는 값이 고객 수를 크게 넘는다)이라 패널에서 제외했다. 고객 수는 powerUsage 의 custCnt 를 사용한다.
2026Q1,1411178437,6042,263048320429,186.53333333333333,3,1423510804.0,6025.0,-0.866334626006815,0.28215767634853783,해당없음(제조업 총계),D,경상남도 창원시,B,창원시 전역 전기사용 고객 — 창원국가산단 아님,한국전력 전력데이터개방포털,powerUsage/industryType.do + change/custNum/industryType.do,월→분기 (사용량 합계 / 고객호수 분기말),manufacturing_aggregate_city,CONTEXT / ACTIVITY,업종별로 복제하지 않는다. 전력 감소를 생산 감소로 단정하지 않는다 — 가동률과 개념·모집단이 다르다.,change/custNum/industryType.do 의 new/expansion/cancel 은 단위 미확정(건수로 보기에는 값이 고객 수를 크게 넘는다)이라 패널에서 제외했다. 고객 수는 powerUsage 의 custCnt 를 사용한다.
2026Q2,1419425162,6026,251378688262,176.9333333333333,3,1408822420.0,6033.0,0.7525960582029922,-0.1160285098624203,해당없음(제조업 총계),D,경상남도 창원시,B,창원시 전역 전기사용 고객 — 창원국가산단 아님,한국전력 전력데이터개방포털,powerUsage/industryType.do + change/custNum/industryType.do,월→분기 (사용량 합계 / 고객호수 분기말),manufacturing_aggregate_city,CONTEXT / ACTIVITY,업종별로 복제하지 않는다. 전력 감소를 생산 감소로 단정하지 않는다 — 가동률과 개념·모집단이 다르다.,change/custNum/industryType.do 의 new/expansion/cancel 은 단위 미확정(건수로 보기에는 값이 고객 수를 크게 넘는다)이라 패널에서 제외했다. 고객 수는 powerUsage 의 custCnt 를 사용한다.
