period,scope,region_or_industry_code,region_or_industry,bsi_code,indicator,mapped_kicox_industry,mapping_grade,value,months,value_lag4,change_vs_year_ago_pt,below_100,source_table_code,geography,coverage_flag,role,usage_note
2023Q3,경남(지역),Z22,경남,AA,업황BSI,,,81.0,3,68.0,13.0,True,512Y019,경상남도,region_manufacturing_aggregate,CONTEXT / BUSINESS_SENTIMENT,업종별 자동판정에 쓰지 않는다. 전국 업종 BSI 를 창원국가산단 개별 업종의 신호라고 부르지 않는다.
2023Q4,경남(지역),Z22,경남,AA,업황BSI,,,75.0,3,70.67,4.33,True,512Y019,경상남도,region_manufacturing_aggregate,CONTEXT / BUSINESS_SENTIMENT,업종별 자동판정에 쓰지 않는다. 전국 업종 BSI 를 창원국가산단 개별 업종의 신호라고 부르지 않는다.
2024Q1,경남(지역),Z22,경남,AA,업황BSI,,,76.67,3,74.0,2.67,True,512Y019,경상남도,region_manufacturing_aggregate,CONTEXT / BUSINESS_SENTIMENT,업종별 자동판정에 쓰지 않는다. 전국 업종 BSI 를 창원국가산단 개별 업종의 신호라고 부르지 않는다.
2024Q2,경남(지역),Z22,경남,AA,업황BSI,,,79.67,3,77.67,2.0,True,512Y019,경상남도,region_manufacturing_aggregate,CONTEXT / BUSINESS_SENTIMENT,업종별 자동판정에 쓰지 않는다. 전국 업종 BSI 를 창원국가산단 개별 업종의 신호라고 부르지 않는다.
2024Q3,경남(지역),Z22,경남,AA,업황BSI,,,68.67,3,81.0,-12.33,True,512Y019,경상남도,region_manufacturing_aggregate,CONTEXT / BUSINESS_SENTIMENT,업종별 자동판정에 쓰지 않는다. 전국 업종 BSI 를 창원국가산단 개별 업종의 신호라고 부르지 않는다.
2024Q4,경남(지역),Z22,경남,AA,업황BSI,,,62.33,3,75.0,-12.67,True,512Y019,경상남도,region_manufacturing_aggregate,CONTEXT / BUSINESS_SENTIMENT,업종별 자동판정에 쓰지 않는다. 전국 업종 BSI 를 창원국가산단 개별 업종의 신호라고 부르지 않는다.
2025Q1,경남(지역),Z22,경남,AA,업황BSI,,,65.0,3,76.67,-11.67,True,512Y019,경상남도,region_manufacturing_aggregate,CONTEXT / BUSINESS_SENTIMENT,업종별 자동판정에 쓰지 않는다. 전국 업종 BSI 를 창원국가산단 개별 업종의 신호라고 부르지 않는다.
2025Q2,경남(지역),Z22,경남,AA,업황BSI,,,68.33,3,79.67,-11.34,True,512Y019,경상남도,region_manufacturing_aggregate,CONTEXT / BUSINESS_SENTIMENT,업종별 자동판정에 쓰지 않는다. 전국 업종 BSI 를 창원국가산단 개별 업종의 신호라고 부르지 않는다.
2025Q3,경남(지역),Z22,경남,AA,업황BSI,,,67.67,3,68.67,-1.0,True,512Y019,경상남도,region_manufacturing_aggregate,CONTEXT / BUSINESS_SENTIMENT,업종별 자동판정에 쓰지 않는다. 전국 업종 BSI 를 창원국가산단 개별 업종의 신호라고 부르지 않는다.
2025Q4,경남(지역),Z22,경남,AA,업황BSI,,,65.33,3,62.33,3.0,True,512Y019,경상남도,region_manufacturing_aggregate,CONTEXT / BUSINESS_SENTIMENT,업종별 자동판정에 쓰지 않는다. 전국 업종 BSI 를 창원국가산단 개별 업종의 신호라고 부르지 않는다.
2026Q1,경남(지역),Z22,경남,AA,업황BSI,,,71.33,3,65.0,6.33,True,512Y019,경상남도,region_manufacturing_aggregate,CONTEXT / BUSINESS_SENTIMENT,업종별 자동판정에 쓰지 않는다. 전국 업종 BSI 를 창원국가산단 개별 업종의 신호라고 부르지 않는다.
2026Q2,경남(지역),Z22,경남,AA,업황BSI,,,74.67,3,68.33,6.34,True,512Y019,경상남도,region_manufacturing_aggregate,CONTEXT / BUSINESS_SENTIMENT,업종별 자동판정에 쓰지 않는다. 전국 업종 BSI 를 창원국가산단 개별 업종의 신호라고 부르지 않는다.
2026Q3,경남(지역),Z22,경남,AA,업황BSI,,,80.5,2,67.67,12.83,True,512Y019,경상남도,region_manufacturing_aggregate,CONTEXT / BUSINESS_SENTIMENT,업종별 자동판정에 쓰지 않는다. 전국 업종 BSI 를 창원국가산단 개별 업종의 신호라고 부르지 않는다.
2021Q1,경남(지역),Z22,경남,AC,생산BSI,,,86.33,3,,,True,512Y019,경상남도,region_manufacturing_aggregate,CONTEXT / BUSINESS_SENTIMENT,업종별 자동판정에 쓰지 않는다. 전국 업종 BSI 를 창원국가산단 개별 업종의 신호라고 부르지 않는다.
2021Q2,경남(지역),Z22,경남,AC,생산BSI,,,95.0,3,,,True,512Y019,경상남도,region_manufacturing_aggregate,CONTEXT / BUSINESS_SENTIMENT,업종별 자동판정에 쓰지 않는다. 전국 업종 BSI 를 창원국가산단 개별 업종의 신호라고 부르지 않는다.
2021Q3,경남(지역),Z22,경남,AC,생산BSI,,,90.33,3,,,True,512Y019,경상남도,region_manufacturing_aggregate,CONTEXT / BUSINESS_SENTIMENT,업종별 자동판정에 쓰지 않는다. 전국 업종 BSI 를 창원국가산단 개별 업종의 신호라고 부르지 않는다.
2021Q4,경남(지역),Z22,경남,AC,생산BSI,,,88.33,3,,,True,512Y019,경상남도,region_manufacturing_aggregate,CONTEXT / BUSINESS_SENTIMENT,업종별 자동판정에 쓰지 않는다. 전국 업종 BSI 를 창원국가산단 개별 업종의 신호라고 부르지 않는다.
2022Q1,경남(지역),Z22,경남,AC,생산BSI,,,91.0,3,86.33,4.67,True,512Y019,경상남도,region_manufacturing_aggregate,CONTEXT / BUSINESS_SENTIMENT,업종별 자동판정에 쓰지 않는다. 전국 업종 BSI 를 창원국가산단 개별 업종의 신호라고 부르지 않는다.
2022Q2,경남(지역),Z22,경남,AC,생산BSI,,,92.33,3,95.0,-2.67,True,512Y019,경상남도,region_manufacturing_aggregate,CONTEXT / BUSINESS_SENTIMENT,업종별 자동판정에 쓰지 않는다. 전국 업종 BSI 를 창원국가산단 개별 업종의 신호라고 부르지 않는다.
2022Q3,경남(지역),Z22,경남,AC,생산BSI,,,90.33,3,90.33,0.0,True,512Y019,경상남도,region_manufacturing_aggregate,CONTEXT / BUSINESS_SENTIMENT,업종별 자동판정에 쓰지 않는다. 전국 업종 BSI 를 창원국가산단 개별 업종의 신호라고 부르지 않는다.
2022Q4,경남(지역),Z22,경남,AC,생산BSI,,,90.67,3,88.33,2.34,True,512Y019,경상남도,region_manufacturing_aggregate,CONTEXT / BUSINESS_SENTIMENT,업종별 자동판정에 쓰지 않는다. 전국 업종 BSI 를 창원국가산단 개별 업종의 신호라고 부르지 않는다.
2023Q1,경남(지역),Z22,경남,AC,생산BSI,,,91.33,3,91.0,0.33,True,512Y019,경상남도,region_manufacturing_aggregate,CONTEXT / BUSINESS_SENTIMENT,업종별 자동판정에 쓰지 않는다. 전국 업종 BSI 를 창원국가산단 개별 업종의 신호라고 부르지 않는다.
2023Q2,경남(지역),Z22,경남,AC,생산BSI,,,96.33,3,92.33,4.0,True,512Y019,경상남도,region_manufacturing_aggregate,CONTEXT / BUSINESS_SENTIMENT,업종별 자동판정에 쓰지 않는다. 전국 업종 BSI 를 창원국가산단 개별 업종의 신호라고 부르지 않는다.
2023Q3,경남(지역),Z22,경남,AC,생산BSI,,,95.0,3,90.33,4.67,True,512Y019,경상남도,region_manufacturing_aggregate,CONTEXT / BUSINESS_SENTIMENT,업종별 자동판정에 쓰지 않는다. 전국 업종 BSI 를 창원국가산단 개별 업종의 신호라고 부르지 않는다.
2023Q4,경남(지역),Z22,경남,AC,생산BSI,,,90.0,3,90.67,-0.67,True,512Y019,경상남도,region_manufacturing_aggregate,CONTEXT / BUSINESS_SENTIMENT,업종별 자동판정에 쓰지 않는다. 전국 업종 BSI 를 창원국가산단 개별 업종의 신호라고 부르지 않는다.
2024Q1,경남(지역),Z22,경남,AC,생산BSI,,,95.0,3,91.33,3.67,True,512Y019,경상남도,region_manufacturing_aggregate,CONTEXT / BUSINESS_SENTIMENT,업종별 자동판정에 쓰지 않는다. 전국 업종 BSI 를 창원국가산단 개별 업종의 신호라고 부르지 않는다.
2024Q2,경남(지역),Z22,경남,AC,생산BSI,,,92.33,3,96.33,-4.0,True,512Y019,경상남도,region_manufacturing_aggregate,CONTEXT / BUSINESS_SENTIMENT,업종별 자동판정에 쓰지 않는다. 전국 업종 BSI 를 창원국가산단 개별 업종의 신호라고 부르지 않는다.
2024Q3,경남(지역),Z22,경남,AC,생산BSI,,,83.67,3,95.0,-11.33,True,512Y019,경상남도,region_manufacturing_aggregate,CONTEXT / BUSINESS_SENTIMENT,업종별 자동판정에 쓰지 않는다. 전국 업종 BSI 를 창원국가산단 개별 업종의 신호라고 부르지 않는다.
2024Q4,경남(지역),Z22,경남,AC,생산BSI,,,77.0,3,90.0,-13.0,True,512Y019,경상남도,region_manufacturing_aggregate,CONTEXT / BUSINESS_SENTIMENT,업종별 자동판정에 쓰지 않는다. 전국 업종 BSI 를 창원국가산단 개별 업종의 신호라고 부르지 않는다.
2025Q1,경남(지역),Z22,경남,AC,생산BSI,,,73.0,3,95.0,-22.0,True,512Y019,경상남도,region_manufacturing_aggregate,CONTEXT / BUSINESS_SENTIMENT,업종별 자동판정에 쓰지 않는다. 전국 업종 BSI 를 창원국가산단 개별 업종의 신호라고 부르지 않는다.
2025Q2,경남(지역),Z22,경남,AC,생산BSI,,,82.33,3,92.33,-10.0,True,512Y019,경상남도,region_manufacturing_aggregate,CONTEXT / BUSINESS_SENTIMENT,업종별 자동판정에 쓰지 않는다. 전국 업종 BSI 를 창원국가산단 개별 업종의 신호라고 부르지 않는다.
2025Q3,경남(지역),Z22,경남,AC,생산BSI,,,80.33,3,83.67,-3.34,True,512Y019,경상남도,region_manufacturing_aggregate,CONTEXT / BUSINESS_SENTIMENT,업종별 자동판정에 쓰지 않는다. 전국 업종 BSI 를 창원국가산단 개별 업종의 신호라고 부르지 않는다.
2025Q4,경남(지역),Z22,경남,AC,생산BSI,,,75.0,3,77.0,-2.0,True,512Y019,경상남도,region_manufacturing_aggregate,CONTEXT / BUSINESS_SENTIMENT,업종별 자동판정에 쓰지 않는다. 전국 업종 BSI 를 창원국가산단 개별 업종의 신호라고 부르지 않는다.
2026Q1,경남(지역),Z22,경남,AC,생산BSI,,,83.33,3,73.0,10.33,True,512Y019,경상남도,region_manufacturing_aggregate,CONTEXT / BUSINESS_SENTIMENT,업종별 자동판정에 쓰지 않는다. 전국 업종 BSI 를 창원국가산단 개별 업종의 신호라고 부르지 않는다.
2026Q2,경남(지역),Z22,경남,AC,생산BSI,,,91.0,3,82.33,8.67,True,512Y019,경상남도,region_manufacturing_aggregate,CONTEXT / BUSINESS_SENTIMENT,업종별 자동판정에 쓰지 않는다. 전국 업종 BSI 를 창원국가산단 개별 업종의 신호라고 부르지 않는다.
2026Q3,경남(지역),Z22,경남,AC,생산BSI,,,97.0,2,80.33,16.67,True,512Y019,경상남도,region_manufacturing_aggregate,CONTEXT / BUSINESS_SENTIMENT,업종별 자동판정에 쓰지 않는다. 전국 업종 BSI 를 창원국가산단 개별 업종의 신호라고 부르지 않는다.
2021Q1,경남(지역),Z22,경남,AD,신규수주BSI,,,87.0,3,,,True,512Y019,경상남도,region_manufacturing_aggregate,CONTEXT / BUSINESS_SENTIMENT,업종별 자동판정에 쓰지 않는다. 전국 업종 BSI 를 창원국가산단 개별 업종의 신호라고 부르지 않는다.
2021Q2,경남(지역),Z22,경남,AD,신규수주BSI,,,93.33,3,,,True,512Y019,경상남도,region_manufacturing_aggregate,CONTEXT / BUSINESS_SENTIMENT,업종별 자동판정에 쓰지 않는다. 전국 업종 BSI 를 창원국가산단 개별 업종의 신호라고 부르지 않는다.
2021Q3,경남(지역),Z22,경남,AD,신규수주BSI,,,88.33,3,,,True,512Y019,경상남도,region_manufacturing_aggregate,CONTEXT / BUSINESS_SENTIMENT,업종별 자동판정에 쓰지 않는다. 전국 업종 BSI 를 창원국가산단 개별 업종의 신호라고 부르지 않는다.
2021Q4,경남(지역),Z22,경남,AD,신규수주BSI,,,87.67,3,,,True,512Y019,경상남도,region_manufacturing_aggregate,CONTEXT / BUSINESS_SENTIMENT,업종별 자동판정에 쓰지 않는다. 전국 업종 BSI 를 창원국가산단 개별 업종의 신호라고 부르지 않는다.
2022Q1,경남(지역),Z22,경남,AD,신규수주BSI,,,86.67,3,87.0,-0.33,True,512Y019,경상남도,region_manufacturing_aggregate,CONTEXT / BUSINESS_SENTIMENT,업종별 자동판정에 쓰지 않는다. 전국 업종 BSI 를 창원국가산단 개별 업종의 신호라고 부르지 않는다.
2022Q2,경남(지역),Z22,경남,AD,신규수주BSI,,,89.67,3,93.33,-3.66,True,512Y019,경상남도,region_manufacturing_aggregate,CONTEXT / BUSINESS_SENTIMENT,업종별 자동판정에 쓰지 않는다. 전국 업종 BSI 를 창원국가산단 개별 업종의 신호라고 부르지 않는다.
2022Q3,경남(지역),Z22,경남,AD,신규수주BSI,,,83.67,3,88.33,-4.66,True,512Y019,경상남도,region_manufacturing_aggregate,CONTEXT / BUSINESS_SENTIMENT,업종별 자동판정에 쓰지 않는다. 전국 업종 BSI 를 창원국가산단 개별 업종의 신호라고 부르지 않는다.
2022Q4,경남(지역),Z22,경남,AD,신규수주BSI,,,82.67,3,87.67,-5.0,True,512Y019,경상남도,region_manufacturing_aggregate,CONTEXT / BUSINESS_SENTIMENT,업종별 자동판정에 쓰지 않는다. 전국 업종 BSI 를 창원국가산단 개별 업종의 신호라고 부르지 않는다.
2023Q1,경남(지역),Z22,경남,AD,신규수주BSI,,,83.33,3,86.67,-3.34,True,512Y019,경상남도,region_manufacturing_aggregate,CONTEXT / BUSINESS_SENTIMENT,업종별 자동판정에 쓰지 않는다. 전국 업종 BSI 를 창원국가산단 개별 업종의 신호라고 부르지 않는다.
2023Q2,경남(지역),Z22,경남,AD,신규수주BSI,,,87.67,3,89.67,-2.0,True,512Y019,경상남도,region_manufacturing_aggregate,CONTEXT / BUSINESS_SENTIMENT,업종별 자동판정에 쓰지 않는다. 전국 업종 BSI 를 창원국가산단 개별 업종의 신호라고 부르지 않는다.
2023Q3,경남(지역),Z22,경남,AD,신규수주BSI,,,87.0,3,83.67,3.33,True,512Y019,경상남도,region_manufacturing_aggregate,CONTEXT / BUSINESS_SENTIMENT,업종별 자동판정에 쓰지 않는다. 전국 업종 BSI 를 창원국가산단 개별 업종의 신호라고 부르지 않는다.
2023Q4,경남(지역),Z22,경남,AD,신규수주BSI,,,82.67,3,82.67,0.0,True,512Y019,경상남도,region_manufacturing_aggregate,CONTEXT / BUSINESS_SENTIMENT,업종별 자동판정에 쓰지 않는다. 전국 업종 BSI 를 창원국가산단 개별 업종의 신호라고 부르지 않는다.
2024Q1,경남(지역),Z22,경남,AD,신규수주BSI,,,87.0,3,83.33,3.67,True,512Y019,경상남도,region_manufacturing_aggregate,CONTEXT / BUSINESS_SENTIMENT,업종별 자동판정에 쓰지 않는다. 전국 업종 BSI 를 창원국가산단 개별 업종의 신호라고 부르지 않는다.
2024Q2,경남(지역),Z22,경남,AD,신규수주BSI,,,87.33,3,87.67,-0.34,True,512Y019,경상남도,region_manufacturing_aggregate,CONTEXT / BUSINESS_SENTIMENT,업종별 자동판정에 쓰지 않는다. 전국 업종 BSI 를 창원국가산단 개별 업종의 신호라고 부르지 않는다.
2024Q3,경남(지역),Z22,경남,AD,신규수주BSI,,,78.0,3,87.0,-9.0,True,512Y019,경상남도,region_manufacturing_aggregate,CONTEXT / BUSINESS_SENTIMENT,업종별 자동판정에 쓰지 않는다. 전국 업종 BSI 를 창원국가산단 개별 업종의 신호라고 부르지 않는다.
2024Q4,경남(지역),Z22,경남,AD,신규수주BSI,,,71.0,3,82.67,-11.67,True,512Y019,경상남도,region_manufacturing_aggregate,CONTEXT / BUSINESS_SENTIMENT,업종별 자동판정에 쓰지 않는다. 전국 업종 BSI 를 창원국가산단 개별 업종의 신호라고 부르지 않는다.
2025Q1,경남(지역),Z22,경남,AD,신규수주BSI,,,68.33,3,87.0,-18.67,True,512Y019,경상남도,region_manufacturing_aggregate,CONTEXT / BUSINESS_SENTIMENT,업종별 자동판정에 쓰지 않는다. 전국 업종 BSI 를 창원국가산단 개별 업종의 신호라고 부르지 않는다.
2025Q2,경남(지역),Z22,경남,AD,신규수주BSI,,,76.33,3,87.33,-11.0,True,512Y019,경상남도,region_manufacturing_aggregate,CONTEXT / BUSINESS_SENTIMENT,업종별 자동판정에 쓰지 않는다. 전국 업종 BSI 를 창원국가산단 개별 업종의 신호라고 부르지 않는다.
2025Q3,경남(지역),Z22,경남,AD,신규수주BSI,,,74.67,3,78.0,-3.33,True,512Y019,경상남도,region_manufacturing_aggregate,CONTEXT / BUSINESS_SENTIMENT,업종별 자동판정에 쓰지 않는다. 전국 업종 BSI 를 창원국가산단 개별 업종의 신호라고 부르지 않는다.
2025Q4,경남(지역),Z22,경남,AD,신규수주BSI,,,70.0,3,71.0,-1.0,True,512Y019,경상남도,region_manufacturing_aggregate,CONTEXT / BUSINESS_SENTIMENT,업종별 자동판정에 쓰지 않는다. 전국 업종 BSI 를 창원국가산단 개별 업종의 신호라고 부르지 않는다.
2026Q1,경남(지역),Z22,경남,AD,신규수주BSI,,,76.67,3,68.33,8.34,True,512Y019,경상남도,region_manufacturing_aggregate,CONTEXT / BUSINESS_SENTIMENT,업종별 자동판정에 쓰지 않는다. 전국 업종 BSI 를 창원국가산단 개별 업종의 신호라고 부르지 않는다.
2026Q2,경남(지역),Z22,경남,AD,신규수주BSI,,,85.33,3,76.33,9.0,True,512Y019,경상남도,region_manufacturing_aggregate,CONTEXT / BUSINESS_SENTIMENT,업종별 자동판정에 쓰지 않는다. 전국 업종 BSI 를 창원국가산단 개별 업종의 신호라고 부르지 않는다.
2026Q3,경남(지역),Z22,경남,AD,신규수주BSI,,,95.5,2,74.67,20.83,True,512Y019,경상남도,region_manufacturing_aggregate,CONTEXT / BUSINESS_SENTIMENT,업종별 자동판정에 쓰지 않는다. 전국 업종 BSI 를 창원국가산단 개별 업종의 신호라고 부르지 않는다.
2021Q1,경남(지역),Z22,경남,AJ,인력사정BSI,,,99.33,3,,,True,512Y019,경상남도,region_manufacturing_aggregate,CONTEXT / BUSINESS_SENTIMENT,업종별 자동판정에 쓰지 않는다. 전국 업종 BSI 를 창원국가산단 개별 업종의 신호라고 부르지 않는다.
2021Q2,경남(지역),Z22,경남,AJ,인력사정BSI,,,90.33,3,,,True,512Y019,경상남도,region_manufacturing_aggregate,CONTEXT / BUSINESS_SENTIMENT,업종별 자동판정에 쓰지 않는다. 전국 업종 BSI 를 창원국가산단 개별 업종의 신호라고 부르지 않는다.
2021Q3,경남(지역),Z22,경남,AJ,인력사정BSI,,,90.0,3,,,True,512Y019,경상남도,region_manufacturing_aggregate,CONTEXT / BUSINESS_SENTIMENT,업종별 자동판정에 쓰지 않는다. 전국 업종 BSI 를 창원국가산단 개별 업종의 신호라고 부르지 않는다.
2021Q4,경남(지역),Z22,경남,AJ,인력사정BSI,,,90.67,3,,,True,512Y019,경상남도,region_manufacturing_aggregate,CONTEXT / BUSINESS_SENTIMENT,업종별 자동판정에 쓰지 않는다. 전국 업종 BSI 를 창원국가산단 개별 업종의 신호라고 부르지 않는다.
2022Q1,경남(지역),Z22,경남,AJ,인력사정BSI,,,82.67,3,99.33,-16.66,True,512Y019,경상남도,region_manufacturing_aggregate,CONTEXT / BUSINESS_SENTIMENT,업종별 자동판정에 쓰지 않는다. 전국 업종 BSI 를 창원국가산단 개별 업종의 신호라고 부르지 않는다.
2022Q2,경남(지역),Z22,경남,AJ,인력사정BSI,,,74.67,3,90.33,-15.66,True,512Y019,경상남도,region_manufacturing_aggregate,CONTEXT / BUSINESS_SENTIMENT,업종별 자동판정에 쓰지 않는다. 전국 업종 BSI 를 창원국가산단 개별 업종의 신호라고 부르지 않는다.
2022Q3,경남(지역),Z22,경남,AJ,인력사정BSI,,,77.33,3,90.0,-12.67,True,512Y019,경상남도,region_manufacturing_aggregate,CONTEXT / BUSINESS_SENTIMENT,업종별 자동판정에 쓰지 않는다. 전국 업종 BSI 를 창원국가산단 개별 업종의 신호라고 부르지 않는다.
2022Q4,경남(지역),Z22,경남,AJ,인력사정BSI,,,77.33,3,90.67,-13.34,True,512Y019,경상남도,region_manufacturing_aggregate,CONTEXT / BUSINESS_SENTIMENT,업종별 자동판정에 쓰지 않는다. 전국 업종 BSI 를 창원국가산단 개별 업종의 신호라고 부르지 않는다.
2023Q1,경남(지역),Z22,경남,AJ,인력사정BSI,,,77.67,3,82.67,-5.0,True,512Y019,경상남도,region_manufacturing_aggregate,CONTEXT / BUSINESS_SENTIMENT,업종별 자동판정에 쓰지 않는다. 전국 업종 BSI 를 창원국가산단 개별 업종의 신호라고 부르지 않는다.
2023Q2,경남(지역),Z22,경남,AJ,인력사정BSI,,,79.33,3,74.67,4.66,True,512Y019,경상남도,region_manufacturing_aggregate,CONTEXT / BUSINESS_SENTIMENT,업종별 자동판정에 쓰지 않는다. 전국 업종 BSI 를 창원국가산단 개별 업종의 신호라고 부르지 않는다.
2023Q3,경남(지역),Z22,경남,AJ,인력사정BSI,,,77.33,3,77.33,0.0,True,512Y019,경상남도,region_manufacturing_aggregate,CONTEXT / BUSINESS_SENTIMENT,업종별 자동판정에 쓰지 않는다. 전국 업종 BSI 를 창원국가산단 개별 업종의 신호라고 부르지 않는다.
2023Q4,경남(지역),Z22,경남,AJ,인력사정BSI,,,80.33,3,77.33,3.0,True,512Y019,경상남도,region_manufacturing_aggregate,CONTEXT / BUSINESS_SENTIMENT,업종별 자동판정에 쓰지 않는다. 전국 업종 BSI 를 창원국가산단 개별 업종의 신호라고 부르지 않는다.
2024Q1,경남(지역),Z22,경남,AJ,인력사정BSI,,,81.0,3,77.67,3.33,True,512Y019,경상남도,region_manufacturing_aggregate,CONTEXT / BUSINESS_SENTIMENT,업종별 자동판정에 쓰지 않는다. 전국 업종 BSI 를 창원국가산단 개별 업종의 신호라고 부르지 않는다.
2024Q2,경남(지역),Z22,경남,AJ,인력사정BSI,,,84.33,3,79.33,5.0,True,512Y019,경상남도,region_manufacturing_aggregate,CONTEXT / BUSINESS_SENTIMENT,업종별 자동판정에 쓰지 않는다. 전국 업종 BSI 를 창원국가산단 개별 업종의 신호라고 부르지 않는다.
2024Q3,경남(지역),Z22,경남,AJ,인력사정BSI,,,82.67,3,77.33,5.34,True,512Y019,경상남도,region_manufacturing_aggregate,CONTEXT / BUSINESS_SENTIMENT,업종별 자동판정에 쓰지 않는다. 전국 업종 BSI 를 창원국가산단 개별 업종의 신호라고 부르지 않는다.
2024Q4,경남(지역),Z22,경남,AJ,인력사정BSI,,,89.33,3,80.33,9.0,True,512Y019,경상남도,region_manufacturing_aggregate,CONTEXT / BUSINESS_SENTIMENT,업종별 자동판정에 쓰지 않는다. 전국 업종 BSI 를 창원국가산단 개별 업종의 신호라고 부르지 않는다.
2025Q1,경남(지역),Z22,경남,AJ,인력사정BSI,,,89.0,3,81.0,8.0,True,512Y019,경상남도,region_manufacturing_aggregate,CONTEXT / BUSINESS_SENTIMENT,업종별 자동판정에 쓰지 않는다. 전국 업종 BSI 를 창원국가산단 개별 업종의 신호라고 부르지 않는다.
2025Q2,경남(지역),Z22,경남,AJ,인력사정BSI,,,90.33,3,84.33,6.0,True,512Y019,경상남도,region_manufacturing_aggregate,CONTEXT / BUSINESS_SENTIMENT,업종별 자동판정에 쓰지 않는다. 전국 업종 BSI 를 창원국가산단 개별 업종의 신호라고 부르지 않는다.
2025Q3,경남(지역),Z22,경남,AJ,인력사정BSI,,,92.0,3,82.67,9.33,True,512Y019,경상남도,region_manufacturing_aggregate,CONTEXT / BUSINESS_SENTIMENT,업종별 자동판정에 쓰지 않는다. 전국 업종 BSI 를 창원국가산단 개별 업종의 신호라고 부르지 않는다.
2025Q4,경남(지역),Z22,경남,AJ,인력사정BSI,,,95.0,3,89.33,5.67,True,512Y019,경상남도,region_manufacturing_aggregate,CONTEXT / BUSINESS_SENTIMENT,업종별 자동판정에 쓰지 않는다. 전국 업종 BSI 를 창원국가산단 개별 업종의 신호라고 부르지 않는다.
2026Q1,경남(지역),Z22,경남,AJ,인력사정BSI,,,91.33,3,89.0,2.33,True,512Y019,경상남도,region_manufacturing_aggregate,CONTEXT / BUSINESS_SENTIMENT,업종별 자동판정에 쓰지 않는다. 전국 업종 BSI 를 창원국가산단 개별 업종의 신호라고 부르지 않는다.
2026Q2,경남(지역),Z22,경남,AJ,인력사정BSI,,,89.67,3,90.33,-0.66,True,512Y019,경상남도,region_manufacturing_aggregate,CONTEXT / BUSINESS_SENTIMENT,업종별 자동판정에 쓰지 않는다. 전국 업종 BSI 를 창원국가산단 개별 업종의 신호라고 부르지 않는다.
