industry,quarter,production,employment,production_yoy,employment_yoy,emp_delta,employment_share_pct,contribution_pct,state,run_length,transition_type,previous_state,production_yoy_valid,employment_yoy_valid,data_quality_core_missing
철강,2022Q2,20095.32,9475.0,26.842212567625488,0.9374667092787892,88.0,8.108825140353279,,S1,2.0,S1->S1,S1,True,True,False
기계,2022Q3,45784.71976,61680.0,9.803121847841489,-3.793361617169954,-2432.0,53.319963001063286,,S2,3.0,S2->S4,S2,True,True,False
기타,2022Q3,132.36000001,194.0,-13.014523864136596,-3.0000000000000027,-6.0,0.1677054608010097,,S4,3.0,S4->S4,S4,True,True,False
목재종이,2022Q3,137.53666666,267.0,8.598726106527387,2.298850574712641,6.0,0.2308111238859256,,S1,3.0,S1->S4,S1,True,True,False
비금속,2022Q3,161.555,257.0,33.69884553316507,-3.745318352059923,-10.0,0.2221665125044303,,S2,3.0,S2->S2,S2,True,True,False
석유화학,2022Q3,657.2433333,521.0,21.39101631360414,2.357563850687616,12.0,0.4503842529759074,,S1,3.0,S1->S1,S1,True,True,False
섬유의복,2022Q3,2.97,39.0,296.00000000000006,-11.363636363636363,-5.0,0.0337139843878318,,S2,3.0,S2->S1,S2,True,True,False
운송장비,2022Q3,28600.85946,15628.0,9.322909729250297,-0.7556994983171417,-119.0,13.509798667000924,,S2,3.0,S2->S1,S2,True,True,False
음식료,2022Q3,1292.09,770.0,13.865107436066392,5.769230769230771,42.0,0.6656350763751415,,S1,3.0,S1->S1,S1,True,True,False
전기전자,2022Q3,30343.6995,26880.0,13.792097021529573,9.08648187979384,2239.0,23.236715393459487,,S1,3.0,S1->S4,S1,True,True,False
철강,2022Q3,17584.4,9443.0,9.160978567067946,0.0741839762611329,7.0,8.163106527546054,,S1,3.0,S1->S4,S1,True,True,False
기계,2022Q4,43131.31384666667,60589.0,-8.447120157116705,-4.635313375515471,-2945.0,53.936955302538,87.10440698018338,S4,1.0,S4->S4,S2,True,True,False
기타,2022Q4,97.7825,158.0,-38.65204843850605,-19.387755102040817,-38.0,0.1406532363597518,1.1239278320023662,S4,4.0,S4->S4,S4,True,True,False
목재종이,2022Q4,69.14124999999999,263.0,-49.854039744705545,-1.4981273408239737,-4.0,0.2341253238140172,0.1183081928423543,S4,1.0,S4->S4,S1,True,True,False
비금속,2022Q4,144.14499999999998,257.0,14.37809958341596,-3.383458646616544,-9.0,0.2287840616737735,0.2661934338952972,S2,4.0,S2->S2,S2,True,True,False
석유화학,2022Q4,885.7425,564.0,42.66686889180007,11.023622047244096,56.0,0.5020786411829116,-1.6563146997929608,S1,4.0,S1->S1,S1,True,True,False
섬유의복,2022Q4,11.9725,64.0,698.1666666666666,64.1025641025641,25.0,0.0569734628292665,-0.7394262052647146,S1,1.0,S1->S1,S2,True,True,False
운송장비,2022Q4,38041.10960633333,16045.0,39.99013394114541,2.5108612317914725,393.0,14.283425173368466,-11.623779946761314,S1,1.0,S1->S1,S2,True,True,False
음식료,2022Q4,1584.72,924.0,33.32604186139838,16.962025316455698,134.0,0.8225543695975359,-3.96332446021887,S1,4.0,S1->S1,S1,True,True,False
전기전자,2022Q4,26050.990760750003,24311.0,-7.753161436961752,-2.82984931452096,-708.0,21.641903981910925,20.94055013309672,S4,1.0,S4->S1,S1,True,True,False
철강,2022Q4,15341.4745,9158.0,-15.233822216149884,-3.0181086519114664,-285.0,8.152546446725362,8.429458740017747,S4,1.0,S4->S4,S1,True,True,False
기계,2023Q1,43783.11930276925,56683.0,-3.5522026508665205,-9.747631557996971,-6122.0,49.84303966655821,171.43657238868664,S4,2.0,S4->S2,S4,True,True,False
기타,2023Q1,77.53250000000001,147.0,-52.11678607015089,-24.615384615384617,-48.0,0.1292614510697044,1.3441612993559229,S4,5.0,S4->S4,S4,True,True,False
목재종이,2023Q1,68.37,258.0,-49.38055281092698,-3.3707865168539297,-9.0,0.226867036571318,0.2520302436292355,S4,2.0,S4->S4,S4,True,True,False
비금속,2023Q1,152.485,256.0,31.799127014996344,-2.661596958174905,-7.0,0.2251083773730907,0.1960235228227387,S2,5.0,S2->S2,S2,True,True,False
석유화학,2023Q1,871.9124999999999,624.0,68.6169252577779,22.83464566929134,116.0,0.5487016698469087,-3.2483898067768138,S1,5.0,S1->S1,S1,True,True,False
섬유의복,2023Q1,7.105,53.0,373.66666666666674,35.897435897435905,14.0,0.0466044687530226,-0.3920470456454775,S1,2.0,S1->S1,S1,True,True,False
운송장비,2023Q1,36202.67666263637,16916.0,34.689526092846926,9.135483870967745,1416.0,14.874739498606262,-39.65275833099973,S1,2.0,S1->S1,S1,True,True,False
음식료,2023Q1,1561.18,859.0,34.716876930776785,17.189631650750336,126.0,0.7553441256386131,-3.528423410809297,S1,5.0,S1->S1,S1,True,True,False
전기전자,2023Q1,32541.05698775,28812.0,3.621137158938215,4.927346225281326,1353.0,25.33524440966207,-37.88854662559507,S1,1.0,S1->S1,S4,True,True,False
철강,2023Q1,16124.712499999998,9115.0,-11.352948554581854,-4.304461942257221,-410.0,8.01508929592079,11.48137776533184,S4,2.0,S4->S4,S4,True,True,False
기계,2023Q2,46779.95319025642,56736.0,0.3889388995355292,-8.788965162451968,-5467.0,50.04940014114327,156.7373853211009,S2,1.0,S2->S4,S4,True,True,False
기타,2023Q2,78.78250000000001,158.0,-39.718035049375,-18.55670103092784,-36.0,0.139378969654199,1.0321100917431194,S4,6.0,S4->S4,S4,True,True,False
목재종이,2023Q2,64.205,258.0,-52.43016966733348,-3.3707865168539297,-9.0,0.2275935074100211,0.2580275229357798,S4,3.0,S4->S4,S4,True,True,False
비금속,2023Q2,170.315,251.0,24.113681909273097,-3.0888030888030937,-8.0,0.2214184897671136,0.2293577981651376,S2,6.0,S2->S4,S2,True,True,False
석유화학,2023Q2,991.6875,625.0,45.18449021597293,21.12403100775193,109.0,0.5513408609738886,-3.125,S1,6.0,S1->S1,S1,True,True,False
섬유의복,2023Q2,8.975,44.0,273.95833333333326,12.82051282051282,5.0,0.0388143966125617,-0.143348623853211,S1,3.0,S1->N,S1,True,True,False
운송장비,2023Q2,40053.86899536364,16513.0,44.50683745858255,5.467203167912116,856.0,14.566866619618912,-24.541284403669724,S1,3.0,S1->S1,S1,True,True,False
음식료,2023Q2,1522.72,909.0,22.16846783963544,14.052697616060229,112.0,0.8018701482004235,-3.211009174311927,S1,6.0,S1->S1,S1,True,True,False
전기전자,2023Q2,33166.19101575,28674.0,7.759641743531831,4.493276484093145,1233.0,25.294636556104443,-35.34977064220183,S1,2.0,S1->S1,S1,True,True,False
철강,2023Q2,17383.534499999998,9192.0,-13.494612178357956,-2.9868073878628,-283.0,8.108680310515174,8.113532110091743,S4,3.0,S4->S4,S4,True,True,False
기계,2023Q3,44858.85667900002,56526.0,-2.022209780584628,-8.356031128404673,-5154.0,49.807909206259694,,S4,1.0,,S2,True,True,False
기타,2023Q3,77.53250000000001,170.0,-41.42301299928807,-12.371134020618555,-24.0,0.1497955731002396,,S4,7.0,,S4,True,True,False
목재종이,2023Q3,74.61500000000001,252.0,-45.749012381946585,-5.61797752808989,-15.0,0.2220499083603553,,S4,4.0,,S4,True,True,False
비금속,2023Q3,150.64499999999998,251.0,-6.753118133143532,-2.334630350194556,-6.0,0.2211687579303538,,S4,1.0,,S2,True,True,False
석유화학,2023Q3,1000.6625,627.0,52.25144924265752,20.345489443378128,106.0,0.552481319610884,,S1,7.0,,S1,True,True,False
섬유의복,2023Q3,7.915,39.0,166.49831649831648,0.0,0.0,0.0343648667700549,,N,,,S1,True,True,False
운송장비,2023Q3,39080.14339936363,16734.0,36.63975187186082,7.077041208088053,1106.0,14.745171295643592,,S1,4.0,,S1,True,True,False
음식료,2023Q3,1523.87,868.0,17.93837890549419,12.72727272727272,98.0,0.7648385732412237,,S1,7.0,,S1,True,True,False
전기전자,2023Q3,34407.77379875,28830.0,13.393470030738984,7.254464285714279,1950.0,25.40356689694064,,S1,3.0,,S1,True,True,False
철강,2023Q3,15843.7605,9191.0,-9.898771069811884,-2.6686434395848724,-252.0,8.098653602142958,,S4,4.0,,S4,True,True,False
기계,2023Q4,,56487.0,,-6.770205812936336,-4102.0,49.76345904802178,,INVALID,,,S4,False,True,False
기타,2023Q4,,170.0,,7.594936708860756,12.0,0.1497652209917981,,INVALID,,,S4,False,True,False
목재종이,2023Q4,,239.0,,-9.125475285171104,-24.0,0.2105522812767044,,INVALID,,,S4,False,True,False
비금속,2023Q4,,251.0,,-2.334630350194556,-6.0,0.221123943934949,,INVALID,,,S4,False,True,False
석유화학,2023Q4,,633.0,,12.234042553191491,69.0,0.5576552052224013,,INVALID,,,S1,False,True,False
섬유의복,2023Q4,,38.0,,-40.625,-26.0,0.0334769317511078,,INVALID,,,N,False,True,False
운송장비,2023Q4,,16819.0,,4.823932689311317,774.0,14.81706618741796,,INVALID,,,S1,False,True,False
음식료,2023Q4,,913.0,,-1.1904761904761862,-11.0,0.8043273339147748,,INVALID,,,S1,False,True,False
전기전자,2023Q4,,28777.0,,18.370285056147416,4466.0,25.35172802635868,,INVALID,,,S1,False,True,False
철강,2023Q4,,9184.0,,0.2839047827036367,26.0,8.090845821109848,,INVALID,,,S4,False,True,False
기계,2024Q1,50754.041424,56321.0,15.921483512916002,-0.6386394509817706,-362.0,49.40785318267948,,S2,1.0,S2->S1,INVALID,True,True,False
기타,2024Q1,78.53250000000001,173.0,1.2897817044465132,17.68707482993197,26.0,0.1517650361428872,,S1,1.0,S1->S1,INVALID,True,True,False
목재종이,2024Q1,80.165,239.0,17.251718590024858,-7.36434108527132,-19.0,0.2096638360586707,,S2,1.0,S2->S2,INVALID,True,True,False
비금속,2024Q1,145.145,250.0,-4.813588221792308,-2.34375,-6.0,0.2193136360446347,,S4,1.0,S4->S2,INVALID,True,True,False
석유화학,2024Q1,843.7024999999999,634.0,-3.235416397861024,1.6025641025640969,10.0,0.5561793810091936,,S3,1.0,S3->S3,INVALID,True,True,False
섬유의복,2024Q1,8.535,38.0,20.126671358198458,-28.30188679245284,-15.0,0.0333356726787844,,S2,1.0,S2->S4,INVALID,True,True,False
운송장비,2024Q1,36734.521823363626,16925.0,1.4690769019191308,0.0532040671553657,9.0,14.84753316022177,,S1,1.0,S1->S3,INVALID,True,True,False
음식료,2024Q1,1541.09,878.0,-1.286847128454116,2.211874272409786,19.0,0.770229489788757,,S3,1.0,S3->S1,INVALID,True,True,False
전기전자,2024Q1,35508.87570375001,29221.0,9.120228384459782,1.4195474108010586,409.0,25.634255035441083,,S1,1.0,S1->S1,INVALID,True,True,False
철강,2024Q1,14707.2125,9313.0,-8.790854410582504,2.1722435545803664,198.0,8.169871569934733,,S3,1.0,S3->S3,INVALID,True,True,False
기계,2024Q2,54973.24675475004,58282.0,17.514539895264704,2.7249012972363262,1546.0,50.11393047231705,52.602926165362376,S1,1.0,S1->S1,S2,True,True,False
기타,2024Q2,80.16083333333333,173.0,1.7495425168448708,9.493670886075956,15.0,0.1487545034781038,0.5103776794828173,S1,2.0,S1->S1,S1,True,True,False
목재종이,2024Q2,80.875,237.0,25.96370999143369,-8.139534883720934,-21.0,0.2037850712387897,-0.7145287512759442,S2,2.0,S2->S2,S2,True,True,False
비금속,2024Q2,179.545,233.0,5.419369990899203,-7.171314741035861,-18.0,0.2003456607537468,-0.6124532153793808,S2,1.0,S2->S4,S4,True,True,False
석유화학,2024Q2,901.9691666666664,628.0,-9.047036826957433,0.4799999999999915,3.0,0.5399874461517296,0.1020755358965634,S3,2.0,S3->S4,S3,True,True,False
섬유의복,2024Q2,8.355,38.0,-6.908077994428963,-13.636363636363637,-6.0,0.0326743996079072,-0.2041510717931269,S4,1.0,S4->S2,S2,True,True,False
운송장비,2024Q2,39643.61302627273,16805.0,-1.0242605255896595,1.7683037606734064,292.0,14.44982330028633,9.935352160598844,S3,1.0,S3->S1,S1,True,True,False
음식료,2024Q2,1609.32,949.0,5.6871913418093945,4.4004400440043945,40.0,0.8160001375764194,1.3610071452875128,S1,1.0,S1->S1,S3,True,True,False
전기전자,2024Q2,34875.72381375001,29445.0,5.154444166314365,2.688847039129527,771.0,25.31836043302178,26.23341272541681,S1,2.0,S1->S3,S1,True,True,False
철강,2024Q2,15230.0545,9509.0,-12.388044560212986,3.4486510008703286,317.0,8.176338575568147,10.785981626403538,S3,2.0,S3->S3,S3,True,True,False
기계,2024Q3,54672.122736750025,58477.0,21.87587197768224,3.4515090400877524,1951.0,50.22416517795795,66.27038043478261,S1,2.0,,S1,True,True,False
기타,2024Q3,79.4125,173.0,2.424789604359434,1.764705882352935,3.0,0.1485845815583344,0.1019021739130434,S1,3.0,,S1,True,True,False
목재종이,2024Q3,78.03,211.0,4.576827715606768,-16.26984126984127,-41.0,0.1812216572763501,-1.3926630434782608,S2,3.0,,S2,True,True,False
비금속,2024Q3,136.385,236.0,-9.465963025656343,-5.976095617529875,-15.0,0.2026934176171499,-0.5095108695652174,S4,1.0,,S2,True,True,False
석유화학,2024Q3,842.5100000000001,623.0,-15.80477933369141,-0.6379585326953707,-4.0,0.5350762676927305,-0.1358695652173913,S4,1.0,,S3,True,True,False
섬유의복,2024Q3,11.095,38.0,40.17687934301959,-2.564102564102566,-1.0,0.0326370757180156,-0.0339673913043478,S2,1.0,,S4,True,True,False
운송장비,2024Q3,41393.52678963636,16786.0,5.919587772828883,0.3107445918489215,52.0,14.416998763226603,1.766304347826087,S1,1.0,,S3,True,True,False
음식료,2024Q3,1638.83,913.0,7.54395059946058,5.184331797235031,45.0,0.784148687646008,1.528532608695652,S1,2.0,,S1,True,True,False
전기전자,2024Q3,33573.62280075,29232.0,-2.424309700705796,1.3943808532778323,402.0,25.106499931290365,13.654891304347828,S3,1.0,,S1,True,True,False
철강,2024Q3,13822.2445,9743.0,-12.759066889454695,6.005875312806008,552.0,8.36797444001649,18.75,S3,3.0,,S3,True,True,False
기계,2024Q4,52778.54172229284,55959.0,,-0.9347283445748532,-528.0,48.8409237697907,-49.67074317968015,INVALID,,,S1,False,True,False
기타,2024Q4,79.58953333333334,196.0,,15.294117647058814,26.0,0.1710684797598058,2.4459078080903107,INVALID,,,S1,False,True,False
목재종이,2024Q4,62.71,214.0,,-10.460251046025103,-25.0,0.1867788503499921,-2.351834430856068,INVALID,,,S2,False,True,False
비금속,2024Q4,101.475,246.0,,-1.9920318725099584,-5.0,0.2147083980658788,-0.4703668861712135,INVALID,,,S4,False,True,False
석유화학,2024Q4,719.2716666666668,623.0,,-1.579778830963663,-10.0,0.5437533820936687,-0.940733772342427,INVALID,,,S4,False,True,False
섬유의복,2024Q4,9.9792,34.0,,-10.526315789473683,-4.0,0.0296751444481295,-0.3762935089369708,INVALID,,,S2,False,True,False
운송장비,2024Q4,53588.47858727274,17204.0,,2.28907782864618,385.0,15.015623090753577,36.21825023518344,INVALID,,,S1,False,True,False
음식료,2024Q4,1582.54,969.0,,6.133625410733834,56.0,0.8457416167716935,5.268109125117592,INVALID,,,S1,False,True,False
전기전자,2024Q4,34606.54549375001,29392.0,,2.137123397157459,615.0,25.65328957704191,57.85512699905927,INVALID,,,S3,False,True,False
철강,2024Q4,14687.109940000002,9737.0,,6.021341463414642,553.0,8.498437690924643,52.02257761053622,INVALID,,,S3,False,True,False
기계,2025Q1,58847.16777272728,60029.0,15.945777167018438,6.583689920278402,3708.0,51.34633478744334,127.07333790267306,S1,1.0,S1->S1,INVALID,True,True,False
기타,2025Q1,81.18,147.0,3.3712157387068897,-15.02890173410405,-26.0,0.1257377469848601,-0.8910212474297465,S2,1.0,S2->S2,INVALID,True,True,False
목재종이,2025Q1,183.7,479.0,129.15237323021267,100.418410041841,240.0,0.4097168762295783,8.224811514736121,S1,1.0,S1->S1,INVALID,True,True,False
비금속,2025Q1,98.24,186.0,-32.3159599021668,-25.6,-64.0,0.1590967410828842,-2.193283070596299,S4,1.0,S4->S4,INVALID,True,True,False
석유화학,2025Q1,478.24,627.0,-43.3165126333038,-1.104100946372244,-7.0,0.5363099820374647,-0.2398903358464701,S4,1.0,S4->S4,INVALID,True,True,False
섬유의복,2025Q1,8.1171,34.0,-4.896309314586988,-10.526315789473683,-4.0,0.0290821999828928,-0.1370801919122687,S4,1.0,S4->S4,INVALID,True,True,False
운송장비,2025Q1,39050.48430555556,16541.0,6.304594063666169,-2.268833087149192,-384.0,14.14849029167736,-13.159698423577792,S2,1.0,S2->S4,INVALID,True,True,False
음식료,2025Q1,1341.71,800.0,-12.937596117034056,-8.883826879271073,-78.0,0.6842870584210076,-2.67306374228924,S4,1.0,S4->S4,INVALID,True,True,False
전기전자,2025Q1,37044.858888888906,28314.0,4.325631703897304,-3.1039321036241074,-907.0,24.218629715165516,-31.08293351610692,S2,1.0,S2->S4,INVALID,True,True,False
철강,2025Q1,13044.26,9753.0,-11.307054276940642,4.724578546118319,440.0,8.34231460097511,15.078821110349557,S3,1.0,S3->S1,INVALID,True,True,False
기계,2025Q2,66747.17383,62763.0,21.41755812200164,7.688480148244747,4481.0,52.67031436196103,156.51414600069856,S1,2.0,S1->S3,S1,True,True,False
기타,2025Q2,82.09,146.0,2.4066200243261004,-15.606936416184968,-27.0,0.1225222805928064,-0.9430667132378624,S2,2.0,S2->S2,S2,True,True,False
목재종이,2025Q2,190.43,476.0,135.46213292117466,100.84388185654008,239.0,0.3994562024806565,8.347886831994412,S1,2.0,S1->S1,S1,True,True,False
비금속,2025Q2,111.45,185.0,-37.9264251301902,-20.60085836909872,-48.0,0.1552508349977341,-1.6765630457562,S4,2.0,S4->S4,S4,True,True,False
석유화학,2025Q2,449.49,565.0,-50.165702264397424,-10.031847133757966,-63.0,0.4741444420201071,-2.2004889975550124,S4,2.0,S4->S3,S4,True,True,False
섬유의복,2025Q2,8.1171,34.0,-2.847396768402155,-10.526315789473683,-4.0,0.0285325858914754,-0.13971358714635,S4,2.0,S4->S4,S4,True,True,False
운송장비,2025Q2,39202.48792,16437.0,-1.1127267990946987,-2.18982445700684,-368.0,13.79382689112301,-12.8536500174642,S4,1.0,S4->S2,S2,True,True,False
음식료,2025Q2,1310.92,660.0,-18.541992891407546,-30.45310853530031,-289.0,0.5538678437757003,-10.094306671323784,S4,2.0,S4->S4,S4,True,True,False
전기전자,2025Q2,33655.73,28095.0,-3.498117545216406,-4.584819154355579,-1350.0,23.57714707708833,-47.15333566189312,S4,1.0,S4->S4,S2,True,True,False
철강,2025Q2,15438.65,9801.0,1.369630686482437,3.0707750552108504,292.0,8.22493748006915,10.199091861683549,S1,1.0,S1->S2,S3,True,True,False
기계,2025Q3,54619.3335,60445.0,-0.0965560400941645,3.3654257229338125,1968.0,51.82451086304165,,S3,1.0,S3->S1,S1,True,True,False
기타,2025Q3,81.89,145.0,3.119785927908092,-16.184971098265898,-28.0,0.1243205240324433,,S2,3.0,S2->S2,S2,True,True,False
목재종이,2025Q3,178.87,471.0,129.23234653338457,123.22274881516586,260.0,0.4038273573743505,,S1,3.0,S1->S1,S1,True,True,False
비금속,2025Q3,73.12,182.0,-46.38706602632253,-22.881355932203384,-54.0,0.1560436922338254,,S4,3.0,S4->S2,S4,True,True,False
석유화학,2025Q3,467.72,639.0,-44.48493192959134,2.5682182985553803,16.0,0.5478676886671126,,S3,1.0,S3->S3,S4,True,True,False
섬유의복,2025Q3,8.1171,34.0,-26.8400180261379,-10.526315789473683,-4.0,0.029151019428297,,S4,3.0,S4->N,S4,True,True,False
운송장비,2025Q3,43309.09042,16275.0,4.627688865697821,-3.044203502919096,-511.0,13.953907093986317,,S2,1.0,S2->S4,S4,True,True,False
음식료,2025Q3,1352.63,654.0,-17.463678355900235,-28.368017524644028,-259.0,0.5607284325325377,,S4,3.0,S4->S4,S4,True,True,False
전기전자,2025Q3,33382.45889,28099.0,-0.569387199839877,-3.875889436234259,-1133.0,24.0916027916388,,S4,2.0,S4->S2,S4,True,True,False
철강,2025Q3,15478.16,9690.0,11.980076752368271,-0.5439802935440774,-53.0,8.308040537064663,,S2,1.0,S2->S2,S1,True,True,False
기계,2025Q4,54735.27441,59349.0,3.707439849329264,6.0580067549455885,3390.0,51.40800540507765,,S1,1.0,S1->S4,S3,True,True,False
기타,2025Q4,84.06,143.0,5.616902725065187,-27.040816326530614,-53.0,0.1238663629197813,,S2,4.0,S2->S1,S2,True,True,False
목재종이,2025Q4,175.72,471.0,180.21049274437888,120.09345794392524,257.0,0.4079794191273918,,S1,4.0,S1->S4,S1,True,True,False
비금속,2025Q4,133.83,178.0,31.884700665188493,-27.642276422764223,-68.0,0.1541833048931544,,S2,1.0,S2->S2,S4,True,True,False
석유화학,2025Q4,439.93,653.0,-38.83673994295156,4.815409309791341,30.0,0.5656275173889318,,S3,2.0,S3->S4,S3,True,True,False
섬유의복,2025Q4,8.1171,34.0,-18.659812409812403,0.0,0.0,0.0294507436312766,,N,,N->N,S4,True,True,False
운송장비,2025Q4,46213.96278,16293.0,-13.761383046661424,-5.295280167402927,-911.0,14.112969587776208,,S4,1.0,S4->S2,S2,True,True,False
음식료,2025Q4,1340.59,653.0,-15.288713081501893,-32.6109391124871,-316.0,0.5656275173889318,,S4,4.0,S4->S2,S4,True,True,False
전기전자,2025Q4,34806.42444,28002.0,0.5775755522494652,-4.729178007621126,-1390.0,24.25528597538264,,S2,1.0,S2->S4,S4,True,True,False
철강,2025Q4,15378.82,9671.0,4.7096403773498,-0.6778268460511438,-66.0,8.377004166414025,,S2,2.0,S2->S2,S2,True,True,False
기계,2026Q1,53182.39562121213,58888.0,-9.626244330726283,-1.900747971813621,-1141.0,51.23145852364173,58.06615776081425,S4,1.0,S4->S4,S1,True,True,False
기타,2026Q1,85.56,169.0,5.395417590539542,14.965986394557817,22.0,0.1470268389229631,-1.1195928753180662,S1,1.0,S1->S1,S2,True,True,False
목재종이,2026Q1,157.45,428.0,-14.28960261295591,-10.647181628392488,-51.0,0.3723519944321197,2.595419847328244,S4,1.0,S4->S4,S1,True,True,False
비금속,2026Q1,138.44,182.0,40.920195439739416,-2.1505376344086,-4.0,0.1583365957631911,0.2035623409669211,S2,2.0,S2->S2,S2,True,True,False
석유화학,2026Q1,430.24,622.0,-10.036801605888256,-0.797448165869219,-5.0,0.5411283657401367,0.2544529262086514,S4,1.0,S4->S3,S3,True,True,False
섬유의복,2026Q1,7.367100000000001,34.0,-9.2397531137968,0.0,0.0,0.029579364043673,-0.0,N,,N->N,N,True,True,False
운송장비,2026Q1,46907.35888888889,16375.0,20.119787815833988,-1.0035668943836562,-166.0,14.245943712210188,8.447837150127228,S2,1.0,S2->S2,S4,True,True,False
음식료,2026Q1,1386.89,628.0,3.367344657191196,-21.5,-172.0,0.5463482535125495,8.753180661577609,S2,1.0,S2->S2,S4,True,True,False
전기전자,2026Q1,34433.41222222222,27944.0,-7.049417233574484,-1.3067740340467648,-370.0,24.310757318717645,18.829516539440203,S4,1.0,S4->S2,S2,True,True,False
철강,2026Q1,20065.36,9675.0,53.82520740923593,-0.7997539218701943,-78.0,8.41706903301579,3.969465648854962,S2,3.0,S2->S2,S2,True,True,False
기계,2026Q2,53699.86956060604,58784.0,-19.547350877543444,-6.339722447939078,-3979.0,51.19219716102064,91.85133887349951,S4,2.0,,S4,True,True,False
기타,2026Q2,84.58,171.0,3.033256182238997,17.12328767123288,25.0,0.1489157885569973,-0.577100646352724,S1,2.0,,S1,True,True,False
목재종이,2026Q2,165.87,428.0,-12.897127553431709,-10.084033613445376,-48.0,0.3727248976748236,1.10803324099723,S4,2.0,,S4,True,True,False
비금속,2026Q2,162.35,183.0,45.67070435172722,-1.0810810810810811,-2.0,0.1593660193329269,0.0461680517082179,S2,3.0,,S2,True,True,False
석유화학,2026Q2,419.24,619.0,-6.729849384858399,9.557522123893802,54.0,0.539057737525037,-1.2465373961218835,S3,1.0,,S4,True,True,False
섬유의복,2026Q2,7.117100000000001,34.0,-12.319670818395734,0.0,0.0,0.0296089871984672,-0.0,N,,,N,True,True,False
운송장비,2026Q2,46903.16277777778,16308.0,19.64333200865325,-0.7848147472166445,-129.0,14.201863624488372,2.977839335180056,S2,2.0,,S2,True,True,False
음식료,2026Q2,1322.37,635.0,0.8734323986208103,-3.787878787878785,-25.0,0.5529913785596099,0.577100646352724,S2,2.0,,S2,True,True,False
전기전자,2026Q2,34563.72,27979.0,2.697876409158262,-0.4128848549563968,-116.0,24.36558390664461,2.677746999076639,S2,1.0,,S4,True,True,False
철강,2026Q2,20479.17,9689.0,32.648709569813406,-1.1427405366799317,-112.0,8.437690498998519,2.585410895660203,S2,4.0,,S2,True,True,False
