industry,quarter,parameter_stages,parameter_range_kind
목재종이,2025Q3,OBSERVE,연속공간 검증(수치 허용오차)
목재종이,2025Q4,OBSERVE,연속공간 검증(수치 허용오차)
목재종이,2026Q1,OBSERVE|CHECK|PRIORITY,연속공간 검증(수치 허용오차)
목재종이,2026Q2,CHECK|PRIORITY,연속공간 검증(수치 허용오차)
비금속,2022Q1,CHECK,연속공간 검증(수치 허용오차)
비금속,2022Q2,CHECK,연속공간 검증(수치 허용오차)
비금속,2022Q3,CHECK|PRIORITY,연속공간 검증(수치 허용오차)
비금속,2022Q4,CHECK|PRIORITY,연속공간 검증(수치 허용오차)
비금속,2023Q1,CHECK,연속공간 검증(수치 허용오차)
비금속,2023Q2,CHECK,연속공간 검증(수치 허용오차)
비금속,2023Q3,CHECK|PRIORITY,연속공간 검증(수치 허용오차)
비금속,2023Q4,,UNDETERMINED
비금속,2024Q1,CHECK,연속공간 검증(수치 허용오차)
비금속,2024Q2,PRIORITY,연속공간 검증(수치 허용오차)
비금속,2024Q3,PRIORITY,연속공간 검증(수치 허용오차)
비금속,2024Q4,,UNDETERMINED
비금속,2025Q1,PRIORITY,연속공간 검증(수치 허용오차)
비금속,2025Q2,PRIORITY,연속공간 검증(수치 허용오차)
비금속,2025Q3,PRIORITY,연속공간 검증(수치 허용오차)
비금속,2025Q4,PRIORITY,연속공간 검증(수치 허용오차)
비금속,2026Q1,CHECK,연속공간 검증(수치 허용오차)
비금속,2026Q2,OBSERVE|CHECK,연속공간 검증(수치 허용오차)
석유화학,2022Q1,OBSERVE,연속공간 검증(수치 허용오차)
석유화학,2022Q2,OBSERVE,연속공간 검증(수치 허용오차)
석유화학,2022Q3,OBSERVE,연속공간 검증(수치 허용오차)
석유화학,2022Q4,OBSERVE,연속공간 검증(수치 허용오차)
석유화학,2023Q1,OBSERVE,연속공간 검증(수치 허용오차)
석유화학,2023Q2,OBSERVE,연속공간 검증(수치 허용오차)
석유화학,2023Q3,OBSERVE,연속공간 검증(수치 허용오차)
석유화학,2023Q4,,UNDETERMINED
석유화학,2024Q1,OBSERVE,연속공간 검증(수치 허용오차)
석유화학,2024Q2,OBSERVE,연속공간 검증(수치 허용오차)
석유화학,2024Q3,OBSERVE|CHECK,연속공간 검증(수치 허용오차)
석유화학,2024Q4,,UNDETERMINED
석유화학,2025Q1,OBSERVE|CHECK|PRIORITY,연속공간 검증(수치 허용오차)
석유화학,2025Q2,PRIORITY,연속공간 검증(수치 허용오차)
석유화학,2025Q3,OBSERVE,연속공간 검증(수치 허용오차)
석유화학,2025Q4,OBSERVE,연속공간 검증(수치 허용오차)
석유화학,2026Q1,OBSERVE|CHECK,연속공간 검증(수치 허용오차)
석유화학,2026Q2,OBSERVE,연속공간 검증(수치 허용오차)
섬유의복,2022Q1,CHECK,연속공간 검증(수치 허용오차)
섬유의복,2022Q2,CHECK|PRIORITY,연속공간 검증(수치 허용오차)
섬유의복,2022Q3,PRIORITY,연속공간 검증(수치 허용오차)
섬유의복,2022Q4,OBSERVE,연속공간 검증(수치 허용오차)
섬유의복,2023Q1,OBSERVE,연속공간 검증(수치 허용오차)
섬유의복,2023Q2,OBSERVE,연속공간 검증(수치 허용오차)
섬유의복,2023Q3,OBSERVE,연속공간 검증(수치 허용오차)
섬유의복,2023Q4,,UNDETERMINED
섬유의복,2024Q1,CHECK,연속공간 검증(수치 허용오차)
섬유의복,2024Q2,CHECK|PRIORITY,연속공간 검증(수치 허용오차)
섬유의복,2024Q3,CHECK,연속공간 검증(수치 허용오차)
섬유의복,2024Q4,,UNDETERMINED
섬유의복,2025Q1,PRIORITY,연속공간 검증(수치 허용오차)
섬유의복,2025Q2,PRIORITY,연속공간 검증(수치 허용오차)
섬유의복,2025Q3,PRIORITY,연속공간 검증(수치 허용오차)
섬유의복,2025Q4,OBSERVE,연속공간 검증(수치 허용오차)
섬유의복,2026Q1,OBSERVE,연속공간 검증(수치 허용오차)
섬유의복,2026Q2,OBSERVE,연속공간 검증(수치 허용오차)
운송장비,2022Q1,OBSERVE|CHECK,연속공간 검증(수치 허용오차)
운송장비,2022Q2,CHECK|PRIORITY,미해결 연속공간의 보수적 외부범위
운송장비,2022Q3,OBSERVE|CHECK,연속공간 검증(수치 허용오차)
운송장비,2022Q4,OBSERVE,연속공간 검증(수치 허용오차)
운송장비,2023Q1,OBSERVE,연속공간 검증(수치 허용오차)
운송장비,2023Q2,OBSERVE,연속공간 검증(수치 허용오차)
운송장비,2023Q3,OBSERVE,연속공간 검증(수치 허용오차)
운송장비,2023Q4,,UNDETERMINED
운송장비,2024Q1,OBSERVE,연속공간 검증(수치 허용오차)
운송장비,2024Q2,OBSERVE,연속공간 검증(수치 허용오차)
운송장비,2024Q3,OBSERVE,연속공간 검증(수치 허용오차)
운송장비,2024Q4,,UNDETERMINED
운송장비,2025Q1,OBSERVE|CHECK,미해결 연속공간의 보수적 외부범위
운송장비,2025Q2,CHECK,연속공간 검증(수치 허용오차)
운송장비,2025Q3,CHECK|PRIORITY,연속공간 검증(수치 허용오차)
운송장비,2025Q4,PRIORITY,연속공간 검증(수치 허용오차)
운송장비,2026Q1,OBSERVE|CHECK,연속공간 검증(수치 허용오차)
운송장비,2026Q2,OBSERVE|CHECK,연속공간 검증(수치 허용오차)
음식료,2022Q1,OBSERVE,연속공간 검증(수치 허용오차)
음식료,2022Q2,OBSERVE,연속공간 검증(수치 허용오차)
음식료,2022Q3,OBSERVE,연속공간 검증(수치 허용오차)
음식료,2022Q4,OBSERVE,연속공간 검증(수치 허용오차)
음식료,2023Q1,OBSERVE,연속공간 검증(수치 허용오차)
음식료,2023Q2,OBSERVE,연속공간 검증(수치 허용오차)
음식료,2023Q3,OBSERVE,연속공간 검증(수치 허용오차)
음식료,2023Q4,,UNDETERMINED
음식료,2024Q1,OBSERVE,연속공간 검증(수치 허용오차)
음식료,2024Q2,OBSERVE,연속공간 검증(수치 허용오차)
음식료,2024Q3,OBSERVE,연속공간 검증(수치 허용오차)
음식료,2024Q4,,UNDETERMINED
음식료,2025Q1,OBSERVE|CHECK|PRIORITY,연속공간 검증(수치 허용오차)
음식료,2025Q2,CHECK|PRIORITY,연속공간 검증(수치 허용오차)
음식료,2025Q3,CHECK|PRIORITY,연속공간 검증(수치 허용오차)
음식료,2025Q4,PRIORITY,연속공간 검증(수치 허용오차)
음식료,2026Q1,PRIORITY,연속공간 검증(수치 허용오차)
음식료,2026Q2,CHECK|PRIORITY,연속공간 검증(수치 허용오차)
전기전자,2022Q1,OBSERVE,연속공간 검증(수치 허용오차)
전기전자,2022Q2,OBSERVE,연속공간 검증(수치 허용오차)
전기전자,2022Q3,OBSERVE,연속공간 검증(수치 허용오차)
전기전자,2022Q4,OBSERVE|CHECK|PRIORITY,미해결 연속공간의 보수적 외부범위
전기전자,2023Q1,OBSERVE,연속공간 검증(수치 허용오차)
전기전자,2023Q2,OBSERVE,연속공간 검증(수치 허용오차)
전기전자,2023Q3,OBSERVE,연속공간 검증(수치 허용오차)
전기전자,2023Q4,,UNDETERMINED
전기전자,2024Q1,OBSERVE,연속공간 검증(수치 허용오차)
전기전자,2024Q2,OBSERVE,연속공간 검증(수치 허용오차)
전기전자,2024Q3,OBSERVE,연속공간 검증(수치 허용오차)
전기전자,2024Q4,,UNDETERMINED
전기전자,2025Q1,OBSERVE|CHECK,미해결 연속공간의 보수적 외부범위
전기전자,2025Q2,CHECK|PRIORITY,연속공간 검증(수치 허용오차)
전기전자,2025Q3,CHECK|PRIORITY,연속공간 검증(수치 허용오차)
전기전자,2025Q4,CHECK|PRIORITY,연속공간 검증(수치 허용오차)
전기전자,2026Q1,OBSERVE|CHECK|PRIORITY,연속공간 검증(수치 허용오차)
전기전자,2026Q2,OBSERVE|CHECK,연속공간 검증(수치 허용오차)
철강,2022Q1,OBSERVE,연속공간 검증(수치 허용오차)
철강,2022Q2,OBSERVE,연속공간 검증(수치 허용오차)
철강,2022Q3,OBSERVE,연속공간 검증(수치 허용오차)
철강,2022Q4,OBSERVE|CHECK,미해결 연속공간의 보수적 외부범위
철강,2023Q1,CHECK|PRIORITY,연속공간 검증(수치 허용오차)
철강,2023Q2,CHECK|PRIORITY,연속공간 검증(수치 허용오차)
철강,2023Q3,CHECK|PRIORITY,연속공간 검증(수치 허용오차)
철강,2023Q4,,UNDETERMINED
철강,2024Q1,OBSERVE,연속공간 검증(수치 허용오차)
철강,2024Q2,OBSERVE,연속공간 검증(수치 허용오차)
철강,2024Q3,OBSERVE,연속공간 검증(수치 허용오차)
철강,2024Q4,,UNDETERMINED
철강,2025Q1,OBSERVE,연속공간 검증(수치 허용오차)
철강,2025Q2,OBSERVE,연속공간 검증(수치 허용오차)
철강,2025Q3,OBSERVE|CHECK,연속공간 검증(수치 허용오차)
철강,2025Q4,OBSERVE|CHECK,연속공간 검증(수치 허용오차)
철강,2026Q1,OBSERVE|CHECK,연속공간 검증(수치 허용오차)
철강,2026Q2,OBSERVE|CHECK,연속공간 검증(수치 허용오차)
