industry,quarter,track,stage,employment_level,firms_op_level,firms_op_change_count,firms_op_yoy,firms_op_change_display,small_industry_flag,small_base_warning,signal_profile,representative_signal,small_track_note
음식료,2022Q3,메인 트랙,관찰,770.0,6.0,0.0,0.0,"6개 → 6개 (+0개, +0.0%)",False,True,해석 보류,해석 보류,
기타,2022Q4,소규모 집계 트랙,추가확인,158.0,23.0,-1.0,-4.1666666666666625,"24개 → 23개 (-1개, -4.2%)",True,True,업체수 감소 신호,업체수 감소 신호,"소규모 집계 트랙은 업종을 배제하는 장치가 아니라, 분모가 작아 비율 변동이 커지는 집계군을 별도 방식으로 읽기 위한 표시다."
목재종이,2022Q4,소규모 집계 트랙,관찰,263.0,40.0,1.0,2.564102564102555,"39개 → 40개 (+1개, +2.6%)",True,True,가동 위축 신호 · 실질생산 위축 신호(PPI 조정),가동 위축 신호,"소규모 집계 트랙은 업종을 배제하는 장치가 아니라, 분모가 작아 비율 변동이 커지는 집계군을 별도 방식으로 읽기 위한 표시다."
비금속,2022Q4,소규모 집계 트랙,관찰,257.0,5.0,0.0,0.0,"5개 → 5개 (+0개, +0.0%)",True,True,해석 보류,해석 보류,"소규모 집계 트랙은 업종을 배제하는 장치가 아니라, 분모가 작아 비율 변동이 커지는 집계군을 별도 방식으로 읽기 위한 표시다."
섬유의복,2022Q4,소규모 집계 트랙,관찰,64.0,8.0,-3.0,-27.27272727272727,"11개 → 8개 (-3개, -27.3%)",True,True,업체수 감소 신호,업체수 감소 신호,"소규모 집계 트랙은 업종을 배제하는 장치가 아니라, 분모가 작아 비율 변동이 커지는 집계군을 별도 방식으로 읽기 위한 표시다."
음식료,2022Q4,메인 트랙,관찰,924.0,5.0,-1.0,-16.666666666666664,"6개 → 5개 (-1개, -16.7%)",False,True,업체수 감소 신호 · 가동 위축 신호,업체수 감소 신호,
기타,2023Q1,소규모 집계 트랙,추가확인,147.0,22.0,-2.0,-8.333333333333337,"24개 → 22개 (-2개, -8.3%)",True,True,업체수 감소 신호 · 가동 위축 신호,업체수 감소 신호,"소규모 집계 트랙은 업종을 배제하는 장치가 아니라, 분모가 작아 비율 변동이 커지는 집계군을 별도 방식으로 읽기 위한 표시다."
목재종이,2023Q1,소규모 집계 트랙,관찰,258.0,39.0,-1.0,-2.500000000000002,"40개 → 39개 (-1개, -2.5%)",True,True,가동 위축 신호 · 실질생산 위축 신호(PPI 조정),가동 위축 신호,"소규모 집계 트랙은 업종을 배제하는 장치가 아니라, 분모가 작아 비율 변동이 커지는 집계군을 별도 방식으로 읽기 위한 표시다."
비금속,2023Q1,소규모 집계 트랙,관찰,256.0,5.0,0.0,0.0,"5개 → 5개 (+0개, +0.0%)",True,True,생산유지·고용감소 신호,생산유지·고용감소 신호,"소규모 집계 트랙은 업종을 배제하는 장치가 아니라, 분모가 작아 비율 변동이 커지는 집계군을 별도 방식으로 읽기 위한 표시다."
섬유의복,2023Q1,소규모 집계 트랙,관찰,53.0,7.0,-2.0,-22.22222222222222,"9개 → 7개 (-2개, -22.2%)",True,True,업체수 감소 신호,업체수 감소 신호,"소규모 집계 트랙은 업종을 배제하는 장치가 아니라, 분모가 작아 비율 변동이 커지는 집계군을 별도 방식으로 읽기 위한 표시다."
음식료,2023Q1,메인 트랙,관찰,859.0,5.0,-1.0,-16.666666666666664,"6개 → 5개 (-1개, -16.7%)",False,True,업체수 감소 신호 · 가동 위축 신호,업체수 감소 신호,
기타,2023Q2,소규모 집계 트랙,추가확인,158.0,23.0,-1.0,-4.1666666666666625,"24개 → 23개 (-1개, -4.2%)",True,True,업체수 감소 신호 · 가동 위축 신호,업체수 감소 신호,"소규모 집계 트랙은 업종을 배제하는 장치가 아니라, 분모가 작아 비율 변동이 커지는 집계군을 별도 방식으로 읽기 위한 표시다."
목재종이,2023Q2,소규모 집계 트랙,관찰,258.0,39.0,-1.0,-2.500000000000002,"40개 → 39개 (-1개, -2.5%)",True,True,가동 위축 신호 · 실질생산 위축 신호(PPI 조정),가동 위축 신호,"소규모 집계 트랙은 업종을 배제하는 장치가 아니라, 분모가 작아 비율 변동이 커지는 집계군을 별도 방식으로 읽기 위한 표시다."
비금속,2023Q2,소규모 집계 트랙,관찰,251.0,5.0,0.0,0.0,"5개 → 5개 (+0개, +0.0%)",True,True,생산유지·고용감소 신호,생산유지·고용감소 신호,"소규모 집계 트랙은 업종을 배제하는 장치가 아니라, 분모가 작아 비율 변동이 커지는 집계군을 별도 방식으로 읽기 위한 표시다."
섬유의복,2023Q2,소규모 집계 트랙,관찰,44.0,7.0,-1.0,-12.5,"8개 → 7개 (-1개, -12.5%)",True,True,업체수 감소 신호,업체수 감소 신호,"소규모 집계 트랙은 업종을 배제하는 장치가 아니라, 분모가 작아 비율 변동이 커지는 집계군을 별도 방식으로 읽기 위한 표시다."
음식료,2023Q2,메인 트랙,관찰,909.0,5.0,-1.0,-16.666666666666664,"6개 → 5개 (-1개, -16.7%)",False,True,업체수 감소 신호 · 가동 위축 신호,업체수 감소 신호,
기타,2023Q3,소규모 집계 트랙,추가확인,170.0,23.0,0.0,0.0,"23개 → 23개 (+0개, +0.0%)",True,True,가동 위축 신호,가동 위축 신호,"소규모 집계 트랙은 업종을 배제하는 장치가 아니라, 분모가 작아 비율 변동이 커지는 집계군을 별도 방식으로 읽기 위한 표시다."
목재종이,2023Q3,소규모 집계 트랙,추가확인,252.0,43.0,4.0,10.256410256410264,"39개 → 43개 (+4개, +10.3%)",True,True,가동 위축 신호 · 실질생산 위축 신호(PPI 조정),가동 위축 신호,"소규모 집계 트랙은 업종을 배제하는 장치가 아니라, 분모가 작아 비율 변동이 커지는 집계군을 별도 방식으로 읽기 위한 표시다."
비금속,2023Q3,소규모 집계 트랙,관찰,251.0,5.0,0.0,0.0,"5개 → 5개 (+0개, +0.0%)",True,True,실질생산 위축 신호(PPI 조정),실질생산 위축 신호(PPI 조정),"소규모 집계 트랙은 업종을 배제하는 장치가 아니라, 분모가 작아 비율 변동이 커지는 집계군을 별도 방식으로 읽기 위한 표시다."
섬유의복,2023Q3,소규모 집계 트랙,관찰,39.0,7.0,-1.0,-12.5,"8개 → 7개 (-1개, -12.5%)",True,True,업체수 감소 신호,업체수 감소 신호,"소규모 집계 트랙은 업종을 배제하는 장치가 아니라, 분모가 작아 비율 변동이 커지는 집계군을 별도 방식으로 읽기 위한 표시다."
음식료,2023Q3,메인 트랙,관찰,868.0,5.0,-1.0,-16.666666666666664,"6개 → 5개 (-1개, -16.7%)",False,True,업체수 감소 신호,업체수 감소 신호,
기타,2023Q4,소규모 집계 트랙,관찰,170.0,23.0,0.0,0.0,"23개 → 23개 (+0개, +0.0%)",True,True,가동 위축 신호,가동 위축 신호,"소규모 집계 트랙은 업종을 배제하는 장치가 아니라, 분모가 작아 비율 변동이 커지는 집계군을 별도 방식으로 읽기 위한 표시다."
목재종이,2023Q4,소규모 집계 트랙,추가확인,239.0,43.0,3.0,7.499999999999996,"40개 → 43개 (+3개, +7.5%)",True,True,가동 위축 신호,가동 위축 신호,"소규모 집계 트랙은 업종을 배제하는 장치가 아니라, 분모가 작아 비율 변동이 커지는 집계군을 별도 방식으로 읽기 위한 표시다."
비금속,2023Q4,소규모 집계 트랙,관찰,251.0,5.0,0.0,0.0,"5개 → 5개 (+0개, +0.0%)",True,True,해석 보류,해석 보류,"소규모 집계 트랙은 업종을 배제하는 장치가 아니라, 분모가 작아 비율 변동이 커지는 집계군을 별도 방식으로 읽기 위한 표시다."
섬유의복,2023Q4,소규모 집계 트랙,추가확인,38.0,7.0,-1.0,-12.5,"8개 → 7개 (-1개, -12.5%)",True,True,업체수 감소 신호,업체수 감소 신호,"소규모 집계 트랙은 업종을 배제하는 장치가 아니라, 분모가 작아 비율 변동이 커지는 집계군을 별도 방식으로 읽기 위한 표시다."
음식료,2023Q4,메인 트랙,관찰,913.0,5.0,0.0,0.0,"5개 → 5개 (+0개, +0.0%)",False,True,해석 보류,해석 보류,
기타,2024Q1,소규모 집계 트랙,관찰,173.0,23.0,1.0,4.545454545454541,"22개 → 23개 (+1개, +4.5%)",True,True,가동 위축 신호,가동 위축 신호,"소규모 집계 트랙은 업종을 배제하는 장치가 아니라, 분모가 작아 비율 변동이 커지는 집계군을 별도 방식으로 읽기 위한 표시다."
목재종이,2024Q1,소규모 집계 트랙,추가확인,239.0,43.0,4.0,10.256410256410264,"39개 → 43개 (+4개, +10.3%)",True,True,생산유지·고용감소 신호,생산유지·고용감소 신호,"소규모 집계 트랙은 업종을 배제하는 장치가 아니라, 분모가 작아 비율 변동이 커지는 집계군을 별도 방식으로 읽기 위한 표시다."
비금속,2024Q1,소규모 집계 트랙,관찰,250.0,5.0,0.0,0.0,"5개 → 5개 (+0개, +0.0%)",True,True,가동 위축 신호 · 실질생산 위축 신호(PPI 조정),가동 위축 신호,"소규모 집계 트랙은 업종을 배제하는 장치가 아니라, 분모가 작아 비율 변동이 커지는 집계군을 별도 방식으로 읽기 위한 표시다."
섬유의복,2024Q1,소규모 집계 트랙,추가확인,38.0,7.0,0.0,0.0,"7개 → 7개 (+0개, +0.0%)",True,True,가동 위축 신호 · 생산유지·고용감소 신호,가동 위축 신호,"소규모 집계 트랙은 업종을 배제하는 장치가 아니라, 분모가 작아 비율 변동이 커지는 집계군을 별도 방식으로 읽기 위한 표시다."
음식료,2024Q1,메인 트랙,관찰,878.0,5.0,0.0,0.0,"5개 → 5개 (+0개, +0.0%)",False,True,해석 보류,해석 보류,
기타,2024Q2,소규모 집계 트랙,관찰,173.0,22.0,-1.0,-4.347826086956519,"23개 → 22개 (-1개, -4.3%)",True,True,업체수 감소 신호,업체수 감소 신호,"소규모 집계 트랙은 업종을 배제하는 장치가 아니라, 분모가 작아 비율 변동이 커지는 집계군을 별도 방식으로 읽기 위한 표시다."
목재종이,2024Q2,소규모 집계 트랙,추가확인,237.0,43.0,4.0,10.256410256410264,"39개 → 43개 (+4개, +10.3%)",True,True,생산유지·고용감소 신호,생산유지·고용감소 신호,"소규모 집계 트랙은 업종을 배제하는 장치가 아니라, 분모가 작아 비율 변동이 커지는 집계군을 별도 방식으로 읽기 위한 표시다."
비금속,2024Q2,소규모 집계 트랙,추가확인,233.0,5.0,0.0,0.0,"5개 → 5개 (+0개, +0.0%)",True,True,생산유지·고용감소 신호,생산유지·고용감소 신호,"소규모 집계 트랙은 업종을 배제하는 장치가 아니라, 분모가 작아 비율 변동이 커지는 집계군을 별도 방식으로 읽기 위한 표시다."
섬유의복,2024Q2,소규모 집계 트랙,추가확인,38.0,7.0,0.0,0.0,"7개 → 7개 (+0개, +0.0%)",True,True,가동 위축 신호 · 실질생산 위축 신호(PPI 조정),가동 위축 신호,"소규모 집계 트랙은 업종을 배제하는 장치가 아니라, 분모가 작아 비율 변동이 커지는 집계군을 별도 방식으로 읽기 위한 표시다."
음식료,2024Q2,메인 트랙,관찰,949.0,4.0,-1.0,-19.999999999999996,"5개 → 4개 (-1개, -20.0%)",False,True,업체수 감소 신호,업체수 감소 신호,
기타,2024Q3,소규모 집계 트랙,관찰,173.0,26.0,3.0,13.043478260869556,"23개 → 26개 (+3개, +13.0%)",True,True,해석 보류,해석 보류,"소규모 집계 트랙은 업종을 배제하는 장치가 아니라, 분모가 작아 비율 변동이 커지는 집계군을 별도 방식으로 읽기 위한 표시다."
목재종이,2024Q3,소규모 집계 트랙,추가확인,211.0,44.0,1.0,2.3255813953488413,"43개 → 44개 (+1개, +2.3%)",True,True,생산유지·고용감소 신호,생산유지·고용감소 신호,"소규모 집계 트랙은 업종을 배제하는 장치가 아니라, 분모가 작아 비율 변동이 커지는 집계군을 별도 방식으로 읽기 위한 표시다."
비금속,2024Q3,소규모 집계 트랙,추가확인,236.0,5.0,0.0,0.0,"5개 → 5개 (+0개, +0.0%)",True,True,가동 위축 신호 · 실질생산 위축 신호(PPI 조정),가동 위축 신호,"소규모 집계 트랙은 업종을 배제하는 장치가 아니라, 분모가 작아 비율 변동이 커지는 집계군을 별도 방식으로 읽기 위한 표시다."
섬유의복,2024Q3,소규모 집계 트랙,추가확인,38.0,7.0,0.0,0.0,"7개 → 7개 (+0개, +0.0%)",True,True,생산유지·고용감소 신호,생산유지·고용감소 신호,"소규모 집계 트랙은 업종을 배제하는 장치가 아니라, 분모가 작아 비율 변동이 커지는 집계군을 별도 방식으로 읽기 위한 표시다."
음식료,2024Q3,메인 트랙,관찰,913.0,4.0,-1.0,-19.999999999999996,"5개 → 4개 (-1개, -20.0%)",False,True,업체수 감소 신호,업체수 감소 신호,
기타,2024Q4,소규모 집계 트랙,관찰,196.0,26.0,3.0,13.043478260869556,"23개 → 26개 (+3개, +13.0%)",True,True,해석 보류,해석 보류,"소규모 집계 트랙은 업종을 배제하는 장치가 아니라, 분모가 작아 비율 변동이 커지는 집계군을 별도 방식으로 읽기 위한 표시다."
목재종이,2024Q4,소규모 집계 트랙,추가확인,214.0,44.0,1.0,2.3255813953488413,"43개 → 44개 (+1개, +2.3%)",True,True,해석 보류,해석 보류,"소규모 집계 트랙은 업종을 배제하는 장치가 아니라, 분모가 작아 비율 변동이 커지는 집계군을 별도 방식으로 읽기 위한 표시다."
비금속,2024Q4,소규모 집계 트랙,관찰,246.0,6.0,1.0,19.999999999999996,"5개 → 6개 (+1개, +20.0%)",True,True,가동 위축 신호,가동 위축 신호,"소규모 집계 트랙은 업종을 배제하는 장치가 아니라, 분모가 작아 비율 변동이 커지는 집계군을 별도 방식으로 읽기 위한 표시다."
섬유의복,2024Q4,소규모 집계 트랙,추가확인,34.0,7.0,0.0,0.0,"7개 → 7개 (+0개, +0.0%)",True,True,가동 위축 신호,가동 위축 신호,"소규모 집계 트랙은 업종을 배제하는 장치가 아니라, 분모가 작아 비율 변동이 커지는 집계군을 별도 방식으로 읽기 위한 표시다."
음식료,2024Q4,메인 트랙,관찰,969.0,4.0,-1.0,-19.999999999999996,"5개 → 4개 (-1개, -20.0%)",False,True,업체수 감소 신호,업체수 감소 신호,
기타,2025Q1,소규모 집계 트랙,추가확인,147.0,26.0,3.0,13.043478260869556,"23개 → 26개 (+3개, +13.0%)",True,True,생산유지·고용감소 신호,생산유지·고용감소 신호,"소규모 집계 트랙은 업종을 배제하는 장치가 아니라, 분모가 작아 비율 변동이 커지는 집계군을 별도 방식으로 읽기 위한 표시다."
비금속,2025Q1,소규모 집계 트랙,추가확인,186.0,5.0,0.0,0.0,"5개 → 5개 (+0개, +0.0%)",True,True,가동 위축 신호 · 실질생산 위축 신호(PPI 조정),가동 위축 신호,"소규모 집계 트랙은 업종을 배제하는 장치가 아니라, 분모가 작아 비율 변동이 커지는 집계군을 별도 방식으로 읽기 위한 표시다."
섬유의복,2025Q1,소규모 집계 트랙,추가확인,34.0,7.0,0.0,0.0,"7개 → 7개 (+0개, +0.0%)",True,True,가동 위축 신호,가동 위축 신호,"소규모 집계 트랙은 업종을 배제하는 장치가 아니라, 분모가 작아 비율 변동이 커지는 집계군을 별도 방식으로 읽기 위한 표시다."
음식료,2025Q1,메인 트랙,우선점검,800.0,4.0,-1.0,-19.999999999999996,"5개 → 4개 (-1개, -20.0%)",False,True,업체수 감소 신호 · 실질생산 위축 신호(PPI 조정),업체수 감소 신호,
기타,2025Q2,소규모 집계 트랙,추가확인,146.0,27.0,5.0,22.72727272727273,"22개 → 27개 (+5개, +22.7%)",True,True,가동 위축 신호 · 생산유지·고용감소 신호,가동 위축 신호,"소규모 집계 트랙은 업종을 배제하는 장치가 아니라, 분모가 작아 비율 변동이 커지는 집계군을 별도 방식으로 읽기 위한 표시다."
비금속,2025Q2,소규모 집계 트랙,추가확인,185.0,5.0,0.0,0.0,"5개 → 5개 (+0개, +0.0%)",True,True,가동 위축 신호 · 실질생산 위축 신호(PPI 조정),가동 위축 신호,"소규모 집계 트랙은 업종을 배제하는 장치가 아니라, 분모가 작아 비율 변동이 커지는 집계군을 별도 방식으로 읽기 위한 표시다."
섬유의복,2025Q2,소규모 집계 트랙,추가확인,34.0,7.0,0.0,0.0,"7개 → 7개 (+0개, +0.0%)",True,True,가동 위축 신호,가동 위축 신호,"소규모 집계 트랙은 업종을 배제하는 장치가 아니라, 분모가 작아 비율 변동이 커지는 집계군을 별도 방식으로 읽기 위한 표시다."
음식료,2025Q2,메인 트랙,우선점검,660.0,4.0,0.0,0.0,"4개 → 4개 (+0개, +0.0%)",False,True,실질생산 위축 신호(PPI 조정),실질생산 위축 신호(PPI 조정),
기타,2025Q3,소규모 집계 트랙,추가확인,145.0,27.0,1.0,3.8461538461538547,"26개 → 27개 (+1개, +3.8%)",True,True,생산유지·고용감소 신호,생산유지·고용감소 신호,"소규모 집계 트랙은 업종을 배제하는 장치가 아니라, 분모가 작아 비율 변동이 커지는 집계군을 별도 방식으로 읽기 위한 표시다."
비금속,2025Q3,소규모 집계 트랙,추가확인,182.0,5.0,0.0,0.0,"5개 → 5개 (+0개, +0.0%)",True,True,가동 위축 신호 · 실질생산 위축 신호(PPI 조정),가동 위축 신호,"소규모 집계 트랙은 업종을 배제하는 장치가 아니라, 분모가 작아 비율 변동이 커지는 집계군을 별도 방식으로 읽기 위한 표시다."
섬유의복,2025Q3,소규모 집계 트랙,추가확인,34.0,7.0,0.0,0.0,"7개 → 7개 (+0개, +0.0%)",True,True,가동 위축 신호 · 실질생산 위축 신호(PPI 조정),가동 위축 신호,"소규모 집계 트랙은 업종을 배제하는 장치가 아니라, 분모가 작아 비율 변동이 커지는 집계군을 별도 방식으로 읽기 위한 표시다."
음식료,2025Q3,메인 트랙,우선점검,654.0,4.0,0.0,0.0,"4개 → 4개 (+0개, +0.0%)",False,True,실질생산 위축 신호(PPI 조정),실질생산 위축 신호(PPI 조정),
기타,2025Q4,소규모 집계 트랙,추가확인,143.0,26.0,0.0,0.0,"26개 → 26개 (+0개, +0.0%)",True,True,생산유지·고용감소 신호,생산유지·고용감소 신호,"소규모 집계 트랙은 업종을 배제하는 장치가 아니라, 분모가 작아 비율 변동이 커지는 집계군을 별도 방식으로 읽기 위한 표시다."
비금속,2025Q4,소규모 집계 트랙,추가확인,178.0,5.0,-1.0,-16.666666666666664,"6개 → 5개 (-1개, -16.7%)",True,True,업체수 감소 신호 · 생산유지·고용감소 신호,업체수 감소 신호,"소규모 집계 트랙은 업종을 배제하는 장치가 아니라, 분모가 작아 비율 변동이 커지는 집계군을 별도 방식으로 읽기 위한 표시다."
섬유의복,2025Q4,소규모 집계 트랙,관찰,34.0,7.0,0.0,0.0,"7개 → 7개 (+0개, +0.0%)",True,True,가동 위축 신호 · 실질생산 위축 신호(PPI 조정),가동 위축 신호,"소규모 집계 트랙은 업종을 배제하는 장치가 아니라, 분모가 작아 비율 변동이 커지는 집계군을 별도 방식으로 읽기 위한 표시다."
음식료,2025Q4,메인 트랙,우선점검,653.0,4.0,0.0,0.0,"4개 → 4개 (+0개, +0.0%)",False,True,실질생산 위축 신호(PPI 조정),실질생산 위축 신호(PPI 조정),
기타,2026Q1,소규모 집계 트랙,관찰,169.0,26.0,0.0,0.0,"26개 → 26개 (+0개, +0.0%)",True,True,해석 보류,해석 보류,"소규모 집계 트랙은 업종을 배제하는 장치가 아니라, 분모가 작아 비율 변동이 커지는 집계군을 별도 방식으로 읽기 위한 표시다."
비금속,2026Q1,소규모 집계 트랙,관찰,182.0,5.0,0.0,0.0,"5개 → 5개 (+0개, +0.0%)",True,True,생산유지·고용감소 신호,생산유지·고용감소 신호,"소규모 집계 트랙은 업종을 배제하는 장치가 아니라, 분모가 작아 비율 변동이 커지는 집계군을 별도 방식으로 읽기 위한 표시다."
섬유의복,2026Q1,소규모 집계 트랙,관찰,34.0,8.0,1.0,14.28571428571428,"7개 → 8개 (+1개, +14.3%)",True,True,가동 위축 신호 · 실질생산 위축 신호(PPI 조정),가동 위축 신호,"소규모 집계 트랙은 업종을 배제하는 장치가 아니라, 분모가 작아 비율 변동이 커지는 집계군을 별도 방식으로 읽기 위한 표시다."
음식료,2026Q1,메인 트랙,우선점검,628.0,4.0,0.0,0.0,"4개 → 4개 (+0개, +0.0%)",False,True,생산유지·고용감소 신호,생산유지·고용감소 신호,
기타,2026Q2,소규모 집계 트랙,관찰,171.0,25.0,-2.0,-7.4074074074074066,"27개 → 25개 (-2개, -7.4%)",True,True,업체수 감소 신호,업체수 감소 신호,"소규모 집계 트랙은 업종을 배제하는 장치가 아니라, 분모가 작아 비율 변동이 커지는 집계군을 별도 방식으로 읽기 위한 표시다."
비금속,2026Q2,소규모 집계 트랙,관찰,183.0,4.0,-1.0,-19.999999999999996,"5개 → 4개 (-1개, -20.0%)",True,True,업체수 감소 신호 · 생산유지·고용감소 신호,업체수 감소 신호,"소규모 집계 트랙은 업종을 배제하는 장치가 아니라, 분모가 작아 비율 변동이 커지는 집계군을 별도 방식으로 읽기 위한 표시다."
섬유의복,2026Q2,소규모 집계 트랙,관찰,34.0,8.0,1.0,14.28571428571428,"7개 → 8개 (+1개, +14.3%)",True,True,가동 위축 신호 · 실질생산 위축 신호(PPI 조정),가동 위축 신호,"소규모 집계 트랙은 업종을 배제하는 장치가 아니라, 분모가 작아 비율 변동이 커지는 집계군을 별도 방식으로 읽기 위한 표시다."
음식료,2026Q2,메인 트랙,관찰,635.0,4.0,0.0,0.0,"4개 → 4개 (+0개, +0.0%)",False,True,해석 보류,해석 보류,
